index, 50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255
1, 95.0488,92.4172,89.5589,86.5229,83.3305,80.0711,76.711,73.3124,69.8436,66.4184,63.0456,59.7843,56.5994,53.5157,50.5472,47.6617,44.8783,42.2481,39.735,37.4051,35.1849,33.1108,31.1562,29.2615,27.551,26.0082,24.5591,23.193,21.9481,20.8837,19.8708,18.9642,18.1457,17.4088,16.713,16.1344,15.6261,15.1782,14.8203,14.4923,14.2243,13.9938
2, 95.678,93.4212,90.9171,88.0915,85.0551,81.8238,78.5438,75.127,71.5818,68.1078,64.5635,61.039,57.6142,54.2592,51.0424,47.94,45.0062,42.1755,39.4694,36.9928,34.715,32.5467,30.5799,28.7682,27.0942,25.5613,24.1042,22.8121,21.6225,20.4798,19.4688,18.5524,17.7096,16.9731,16.3139,15.7287,15.2049,14.7477,14.3541,14.0585,13.8327,13.672
3, 95.2639,92.8342,90.1243,87.2055,84.0942,80.78,77.2643,73.6741,69.9973,66.3368,62.6164,58.9967,55.5082,52.1031,48.8545,45.7717,42.8482,39.9758,37.3522,34.7801,32.3813,30.2159,28.1357,26.228,24.4528,22.9016,21.481,20.157,18.9586,17.8904,16.915,16.0459,15.3206,14.6947,14.1536,13.6879,13.3,12.9823,12.735,12.5785,12.4637,12.4079
Mean, 95.3302,92.8909,90.2001,87.2733,84.1599,80.8916,77.5064,74.0378,70.4742,66.9543,63.4085,59.94,56.5739,53.2927,50.148,47.1245,44.2442,41.4665,38.8522,36.3927,34.0937,31.9578,29.9573,28.0859,26.366,24.8237,23.3815,22.054,20.8431,19.7513,18.7515,17.8542,17.0587,16.3589,15.7268,15.1837,14.7103,14.3027,13.9698,13.7098,13.5069,13.3579,0
