 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,2.835,13.338,0.200,4.157,1.662,2.500,2.629
2,0.634,5.261,0.288,2.225,0.675,3.294,1.226
3,0.408,3.174,0.509,1.347,0.558,2.414,0.867
4,2.588,15.557,0.134,3.736,3.026,1.235,3.363
5,0.526,4.053,0.403,1.390,0.933,1.491,1.139
6,0.333,2.295,0.795,0.983,0.518,1.897,0.714
7,0.752,3.710,0.686,1.466,0.918,1.597,1.160
8,0.419,3.063,0.561,1.363,0.415,3.288,0.752
9,0.354,3.528,0.358,1.541,0.539,2.859,0.911
10,2.803,13.742,0.187,3.507,2.231,1.572,2.797
11,3.469,20.515,0.104,4.314,2.488,1.734,3.276
12,1.514,8.653,0.254,3.244,1.204,2.695,1.976
13,7.989,38.735,0.067,9.084,4.172,2.177,6.156
14,2.277,12.570,0.181,4.024,1.732,2.323,2.640
15,0.150,2.269,0.367,1.041,0.207,5.025,0.465
16,0.419,2.648,0.750,1.067,0.545,1.957,0.763
17,1.117,7.602,0.243,2.179,1.762,1.237,1.959
18,0.795,4.857,0.423,1.578,1.036,1.523,1.279
19,0.548,4.099,0.410,1.619,0.777,2.082,1.122
20,0.140,1.294,1.000,0.586,0.415,1.414,0.493
21,1.707,6.980,0.440,2.363,1.865,1.267,2.099
22,3.146,17.305,0.132,4.409,2.006,2.198,2.974
23,36.200,151.478,0.020,13.528,11.619,1.164,12.537
24,0.548,3.735,0.493,1.495,0.764,1.956,1.069
25,2.008,10.507,0.229,3.715,1.524,2.437,2.380
26,6.744,30.375,0.092,8.813,2.404,3.665,4.603
27,0.387,3.149,0.490,1.248,0.686,1.820,0.925
28,1.697,9.593,0.232,2.506,1.838,1.364,2.146
29,0.344,2.673,0.604,1.208,0.477,2.535,0.759
30,0.365,2.856,0.563,1.067,0.572,1.867,0.781
31,0.344,2.881,0.520,1.265,0.540,2.345,0.826
32,0.827,6.065,0.282,2.096,1.116,1.877,1.530
33,0.236,1.759,0.960,0.747,0.440,1.700,0.573
34,0.440,3.649,0.416,1.466,0.770,1.904,1.062
35,0.924,5.150,0.438,1.582,1.112,1.422,1.326
36,0.258,2.588,0.484,1.116,0.427,2.614,0.690
37,0.784,4.771,0.433,1.868,0.928,2.014,1.316
38,0.419,3.270,0.492,1.363,0.415,3.288,0.752
39,0.290,1.880,1.000,0.789,0.518,1.523,0.639
40,0.354,3.356,0.395,1.443,0.477,3.026,0.830
41,0.376,2.380,0.834,0.927,0.642,1.443,0.772
42,1.525,6.272,0.487,2.136,1.737,1.230,1.926
43,0.591,3.735,0.532,1.622,0.649,2.500,1.026
44,0.945,5.797,0.353,1.868,1.251,1.493,1.529
45,0.333,2.148,0.907,0.891,0.622,1.434,0.744
46,0.881,4.821,0.476,1.638,1.154,1.419,1.375
47,0.526,3.356,0.587,1.347,0.725,1.857,0.989
48,1.772,10.690,0.195,3.625,1.404,2.583,2.256
49,0.365,2.709,0.625,1.159,0.488,2.372,0.752
50,3.028,13.863,0.198,4.542,1.902,2.388,2.939
51,0.430,3.796,0.375,1.159,0.933,1.242,1.039
52,0.258,2.588,0.484,1.057,0.415,2.550,0.662
53,0.934,4.650,0.543,1.783,0.953,1.872,1.303
54,2.287,14.546,0.136,4.328,1.776,2.437,2.772
55,1.664,9.886,0.214,3.483,1.156,3.013,2.007
56,0.333,2.087,0.960,0.855,0.518,1.649,0.665
57,0.354,2.320,0.828,0.978,0.513,1.906,0.708
58,0.440,3.674,0.410,1.409,0.622,2.267,0.936
59,0.226,1.673,1.000,0.747,0.510,1.466,0.617
60,0.236,1.855,0.863,0.789,0.415,1.904,0.572
61,0.290,2.087,0.836,0.927,0.518,1.789,0.693
62,0.462,4.882,0.243,1.674,0.957,1.750,1.265
63,4.628,25.983,0.086,5.240,2.975,1.762,3.948
64,0.226,1.708,0.971,0.733,0.518,1.414,0.616
65,1.342,8.420,0.238,2.574,1.530,1.682,1.985
66,1.138,8.152,0.215,2.967,0.938,3.163,1.668
67,0.279,2.502,0.561,1.036,0.513,2.020,0.729
68,6.271,26.175,0.115,7.944,2.119,3.749,4.103
69,2.534,13.985,0.163,3.348,2.371,1.412,2.818
70,1.396,8.385,0.250,2.946,1.236,2.383,1.908
71,2.384,12.130,0.204,4.683,1.352,3.464,2.516
72,0.301,2.234,0.757,0.955,0.566,1.687,0.736
73,0.301,2.734,0.505,1.182,0.450,2.626,0.729
74,2.083,15.829,0.104,3.254,2.364,1.377,2.773
75,0.773,5.186,0.361,2.198,0.621,3.541,1.168
76,1.310,8.299,0.239,2.859,1.344,2.127,1.960
77,0.322,2.320,0.752,0.927,0.580,1.597,0.733
78,0.236,1.733,0.988,0.655,0.518,1.265,0.583
79,0.344,3.002,0.479,1.182,0.624,1.895,0.858
80,2.298,12.362,0.189,2.790,2.224,1.254,2.491
81,0.784,3.942,0.634,1.440,1.026,1.403,1.215
82,0.258,2.148,0.702,0.955,0.415,2.305,0.629
83,18.331,89.034,0.029,12.049,6.870,1.754,9.098
84,0.279,1.941,0.932,0.835,0.518,1.612,0.658
85,0.623,4.442,0.397,1.671,0.751,2.226,1.120
86,1.987,8.274,0.365,3.060,1.221,2.505,1.933
87,0.387,2.295,0.923,0.955,0.518,1.844,0.704
88,0.795,4.417,0.512,1.725,0.916,1.884,1.257
89,0.515,2.881,0.781,1.159,0.725,1.597,0.917
90,1.031,5.615,0.411,2.186,1.067,2.049,1.527
91,0.430,2.881,0.650,1.182,0.586,2.016,0.832
92,0.601,3.088,0.792,1.298,0.721,1.801,0.968
93,0.698,3.588,0.681,1.383,0.829,1.668,1.071
94,0.569,2.734,0.957,1.082,0.725,1.491,0.886
95,0.376,2.673,0.661,1.159,0.510,2.273,0.769
96,0.344,2.881,0.520,1.159,0.612,1.893,0.842
97,0.397,2.234,1.000,0.885,0.622,1.424,0.742
98,0.924,5.115,0.444,2.098,0.809,2.594,1.303
99,0.311,2.466,0.643,1.067,0.513,2.080,0.740
100,0.311,2.027,0.953,0.789,0.590,1.338,0.682
101,0.515,3.821,0.444,1.622,0.635,2.554,1.015
102,0.311,2.709,0.533,1.026,0.712,1.441,0.855
103,5.788,32.316,0.070,5.517,4.928,1.119,5.214
104,2.115,8.824,0.341,2.457,1.851,1.327,2.132
