 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.017,0.448,1.000,0.179,0.143,1.250,0.160
2,0.172,2.201,0.447,0.820,0.411,1.993,0.581
3,0.284,3.793,0.248,1.173,0.574,2.043,0.821
4,0.342,3.671,0.319,1.121,0.662,1.693,0.862
5,0.098,1.538,0.520,0.617,0.310,1.988,0.438
6,0.384,4.106,0.286,1.444,0.634,2.278,0.957
7,0.042,0.959,0.580,0.401,0.179,2.236,0.268
8,0.402,3.722,0.364,1.050,0.717,1.464,0.868
9,0.063,0.938,0.901,0.381,0.265,1.437,0.318
10,0.143,2.273,0.348,0.844,0.387,2.181,0.572
11,0.499,5.302,0.223,1.453,0.917,1.585,1.154
12,0.099,1.170,0.909,0.433,0.352,1.233,0.390
13,0.013,0.541,0.553,0.254,0.072,3.536,0.135
14,0.055,0.845,0.974,0.338,0.251,1.348,0.292
15,0.019,0.478,1.000,0.209,0.143,1.458,0.173
16,0.484,5.576,0.196,2.014,0.708,2.845,1.194
17,0.014,0.397,1.000,0.179,0.108,1.667,0.139
18,0.068,1.048,0.780,0.450,0.257,1.751,0.340
19,0.013,0.469,0.736,0.218,0.072,3.041,0.125
20,0.196,2.028,0.598,0.670,0.538,1.246,0.600
21,0.199,2.142,0.547,0.802,0.466,1.720,0.612
22,0.104,1.547,0.548,0.543,0.388,1.398,0.459
23,0.041,0.723,0.991,0.289,0.215,1.344,0.250
24,0.063,0.917,0.943,0.369,0.251,1.471,0.305
25,0.256,3.324,0.291,1.260,0.607,2.078,0.874
26,0.658,6.974,0.170,1.457,0.991,1.469,1.202
27,0.022,0.570,0.845,0.227,0.143,1.581,0.180
28,0.023,0.642,0.706,0.289,0.108,2.687,0.176
29,0.918,11.258,0.091,2.393,1.180,2.028,1.680
30,0.021,0.499,1.000,0.209,0.143,1.458,0.173
31,0.193,3.100,0.252,0.813,0.610,1.334,0.704
32,0.067,1.276,0.517,0.578,0.179,3.225,0.322
33,0.050,0.959,0.686,0.409,0.179,2.280,0.271
34,0.041,0.731,0.968,0.273,0.228,1.197,0.250
35,0.051,1.069,0.566,0.444,0.215,2.062,0.309
36,0.033,0.651,0.993,0.261,0.179,1.456,0.216
37,0.093,1.192,0.820,0.488,0.303,1.613,0.384
38,0.014,0.926,0.208,0.438,0.099,4.401,0.209
39,0.140,1.622,0.670,0.639,0.389,1.642,0.499
40,0.035,0.651,1.000,0.259,0.203,1.275,0.229
41,0.109,1.538,0.581,0.601,0.287,2.095,0.415
42,0.053,0.836,0.948,0.338,0.215,1.572,0.270
43,0.260,2.792,0.419,1.171,0.394,2.971,0.680
44,0.059,0.968,0.795,0.409,0.206,1.982,0.291
45,0.013,0.427,0.887,0.179,0.127,1.414,0.151
46,0.273,3.393,0.298,0.979,0.669,1.463,0.810
47,0.131,1.729,0.552,0.655,0.381,1.719,0.499
48,0.028,0.579,1.000,0.241,0.178,1.355,0.207
49,0.041,0.723,0.991,0.289,0.215,1.344,0.250
50,0.242,2.822,0.382,1.149,0.438,2.623,0.709
51,0.049,0.773,1.000,0.289,0.251,1.152,0.270
52,0.129,1.732,0.539,0.697,0.287,2.427,0.447
53,0.319,3.461,0.335,1.403,0.492,2.855,0.831
54,0.196,2.957,0.281,0.980,0.572,1.713,0.749
55,0.138,1.394,0.890,0.522,0.395,1.324,0.454
56,0.058,0.905,0.890,0.369,0.228,1.618,0.290
57,0.050,0.845,0.883,0.309,0.244,1.267,0.274
58,0.183,2.129,0.506,0.806,0.423,1.907,0.584
59,0.687,7.807,0.142,2.265,0.850,2.663,1.388
60,0.311,3.536,0.313,1.475,0.464,3.178,0.827
61,0.094,1.221,0.792,0.481,0.322,1.497,0.393
62,0.032,0.672,0.896,0.289,0.170,1.700,0.222
63,0.743,8.796,0.121,2.483,1.169,2.123,1.704
64,1.974,23.071,0.047,3.430,2.296,1.494,2.806
65,0.037,0.815,0.705,0.366,0.143,2.550,0.229
66,0.112,1.559,0.579,0.667,0.292,2.288,0.441
67,0.190,2.873,0.290,0.969,0.474,2.046,0.678
68,0.076,1.170,0.696,0.530,0.209,2.540,0.332
69,0.441,5.197,0.205,1.365,0.892,1.530,1.103
70,0.532,6.654,0.151,1.473,0.935,1.575,1.174
71,0.042,0.866,0.711,0.375,0.162,2.307,0.247
72,0.217,2.789,0.351,0.757,0.626,1.210,0.688
73,0.148,1.825,0.558,0.767,0.303,2.534,0.482
74,0.259,2.658,0.460,0.717,0.610,1.177,0.661
75,0.041,0.693,1.000,0.259,0.215,1.202,0.236
76,0.028,0.579,1.000,0.227,0.179,1.265,0.202
77,0.031,0.600,1.000,0.259,0.179,1.442,0.215
78,0.099,1.589,0.493,0.670,0.286,2.346,0.438
79,0.049,0.794,0.974,0.331,0.228,1.449,0.275
80,0.035,0.896,0.544,0.375,0.179,2.088,0.259
81,0.143,1.508,0.789,0.610,0.387,1.576,0.486
82,0.261,3.022,0.360,1.149,0.583,1.969,0.819
83,0.048,1.048,0.545,0.468,0.178,2.628,0.289
84,0.203,2.413,0.439,0.942,0.406,2.320,0.618
85,0.046,0.854,0.799,0.353,0.220,1.607,0.279
86,0.421,5.471,0.177,1.269,0.859,1.478,1.044
87,0.139,1.821,0.527,0.740,0.338,2.187,0.500
88,0.036,0.681,0.978,0.289,0.203,1.425,0.242
89,0.058,0.896,0.907,0.353,0.251,1.407,0.298
90,0.082,1.221,0.694,0.498,0.284,1.757,0.376
91,0.041,0.866,0.690,0.361,0.179,2.010,0.254
92,0.221,2.607,0.409,1.126,0.353,3.190,0.630
93,0.143,2.045,0.429,0.690,0.430,1.603,0.545
94,0.095,1.200,0.831,0.514,0.286,1.798,0.383
95,0.040,0.723,0.960,0.309,0.203,1.521,0.250
96,0.039,0.702,0.986,0.273,0.209,1.310,0.239
97,0.091,1.302,0.678,0.588,0.243,2.421,0.378
98,0.111,1.356,0.756,0.567,0.272,2.082,0.393
99,0.032,0.642,0.981,0.273,0.143,1.904,0.198
100,0.039,0.672,1.000,0.259,0.215,1.202,0.236
101,0.245,2.560,0.469,0.997,0.477,2.092,0.690
102,0.122,2.028,0.374,0.790,0.353,2.238,0.528
103,0.086,1.153,0.815,0.479,0.215,2.224,0.321
104,0.759,9.476,0.106,1.629,1.393,1.169,1.506
105,0.073,1.272,0.570,0.500,0.261,1.914,0.361
106,0.042,0.744,0.965,0.307,0.179,1.709,0.234
107,0.080,1.335,0.563,0.438,0.348,1.257,0.391
108,0.049,0.926,0.717,0.388,0.208,1.865,0.284
109,0.106,1.568,0.540,0.660,0.297,2.221,0.443
110,0.152,2.045,0.456,0.891,0.323,2.760,0.536
111,0.203,2.523,0.401,0.969,0.398,2.435,0.621
112,0.102,1.508,0.562,0.530,0.385,1.376,0.452
113,0.167,2.234,0.421,0.760,0.438,1.734,0.577
114,0.109,1.335,0.771,0.498,0.355,1.403,0.421
115,0.243,3.165,0.305,0.969,0.653,1.485,0.796
116,0.033,0.651,0.993,0.273,0.179,1.523,0.221
117,0.028,0.600,0.988,0.259,0.178,1.457,0.214
118,0.317,4.393,0.206,1.043,0.783,1.332,0.903
119,0.134,1.783,0.529,0.732,0.286,2.560,0.457
120,0.654,7.203,0.158,1.804,1.055,1.711,1.379
121,0.036,0.702,0.920,0.273,0.215,1.269,0.243
122,0.086,1.242,0.702,0.454,0.323,1.405,0.383
123,0.135,1.914,0.463,0.787,0.371,2.121,0.540
124,0.031,0.651,0.916,0.273,0.170,1.606,0.216
125,0.281,3.342,0.316,0.957,0.577,1.658,0.743
126,0.136,2.007,0.426,0.818,0.274,2.986,0.473
127,1.685,13.532,0.116,3.197,1.793,1.783,2.394
128,0.062,0.875,1.000,0.359,0.254,1.414,0.302
129,0.073,1.293,0.551,0.454,0.321,1.414,0.382
130,0.088,1.639,0.409,0.722,0.226,3.193,0.404
131,0.145,2.121,0.406,0.837,0.343,2.442,0.535
132,0.032,0.621,1.000,0.259,0.179,1.442,0.215
133,0.130,1.597,0.640,0.639,0.353,1.810,0.475
134,0.032,0.672,0.896,0.296,0.143,2.062,0.206
135,0.031,0.621,1.000,0.241,0.179,1.342,0.208
136,0.076,1.078,0.822,0.450,0.249,1.807,0.334
137,0.058,0.997,0.732,0.438,0.207,2.112,0.301
138,0.098,1.128,0.965,0.420,0.355,1.182,0.386
139,0.044,0.773,0.919,0.321,0.215,1.491,0.263
140,0.112,1.690,0.493,0.546,0.448,1.220,0.495
141,0.196,2.392,0.430,1.027,0.374,2.745,0.620
142,0.073,1.158,0.687,0.454,0.301,1.505,0.370
143,0.064,1.344,0.448,0.588,0.227,2.597,0.365
144,0.058,0.845,1.000,0.338,0.251,1.348,0.292
145,0.124,2.299,0.294,0.828,0.359,2.309,0.545
146,0.068,0.926,1.000,0.353,0.287,1.231,0.318
147,1.179,11.077,0.121,2.272,1.893,1.200,2.074
148,0.104,1.648,0.482,0.636,0.297,2.139,0.435
149,0.151,2.240,0.377,0.886,0.332,2.668,0.542
150,0.044,1.179,0.395,0.538,0.162,3.312,0.296
151,0.354,4.474,0.222,1.268,0.899,1.410,1.068
152,0.058,0.980,0.758,0.409,0.179,2.280,0.271
153,0.028,0.723,0.681,0.307,0.157,1.957,0.219
154,0.122,1.792,0.479,0.677,0.351,1.930,0.487
155,0.060,1.006,0.751,0.409,0.250,1.635,0.320
156,0.178,2.527,0.350,0.966,0.408,2.368,0.628
157,0.223,4.026,0.173,1.203,0.770,1.563,0.962
158,0.049,0.997,0.618,0.401,0.231,1.733,0.305
159,0.178,2.311,0.418,0.715,0.559,1.278,0.632
160,0.057,0.875,0.930,0.353,0.249,1.420,0.296
161,0.147,1.496,0.824,0.530,0.425,1.247,0.474
162,0.045,0.744,1.000,0.289,0.215,1.344,0.250
163,0.053,0.845,0.928,0.369,0.215,1.716,0.282
164,0.542,3.772,0.478,1.300,0.744,1.747,0.984
165,0.326,3.891,0.270,1.443,0.515,2.804,0.862
166,0.749,5.734,0.286,1.320,1.113,1.186,1.212
167,0.837,10.388,0.097,2.563,1.050,2.442,1.640
168,0.180,2.299,0.428,0.802,0.531,1.512,0.652
169,1.318,14.165,0.083,3.086,1.576,1.958,2.206
170,0.885,9.721,0.118,2.950,1.074,2.746,1.780
171,0.086,1.069,0.948,0.418,0.304,1.374,0.357
172,0.049,0.773,1.000,0.307,0.215,1.424,0.257
173,0.167,2.028,0.511,0.828,0.335,2.475,0.526
174,0.046,0.752,1.000,0.273,0.251,1.088,0.262
175,0.057,1.162,0.527,0.481,0.186,2.585,0.299
