 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,27.445,170.848,0.012,13.189,8.655,1.524,10.684
2,0.226,2.697,0.391,1.224,0.420,2.911,0.717
3,0.533,3.573,0.525,1.560,0.582,2.680,0.953
4,0.212,1.872,0.760,0.806,0.415,1.945,0.578
5,2.644,18.288,0.099,4.438,1.585,2.800,2.652
6,0.679,4.560,0.411,1.660,0.903,1.839,1.224
7,3.755,23.048,0.089,4.295,2.816,1.525,3.478
8,0.365,3.251,0.434,1.215,0.706,1.722,0.926
9,0.226,2.113,0.637,0.921,0.427,2.154,0.627
10,0.102,1.188,0.911,0.547,0.342,1.601,0.433
11,8.394,58.610,0.031,7.198,4.950,1.454,5.969
12,27.234,155.083,0.014,14.835,9.895,1.499,12.116
13,0.979,5.607,0.391,2.003,1.032,1.940,1.438
14,2.769,21.147,0.078,4.474,2.219,2.016,3.151
15,22.244,140.443,0.014,18.133,7.277,2.492,11.487
16,0.307,2.588,0.575,1.163,0.423,2.748,0.701
17,0.489,3.472,0.510,1.327,0.598,2.218,0.891
18,11.922,66.185,0.034,7.760,4.667,1.663,6.018
19,0.175,1.651,0.809,0.689,0.373,1.847,0.507
20,0.380,4.227,0.267,1.813,0.399,4.545,0.850
21,0.168,1.751,0.689,0.725,0.429,1.692,0.557
22,2.652,17.303,0.111,3.162,2.433,1.300,2.774
23,1.030,8.666,0.172,1.921,1.369,1.403,1.622
24,4.456,26.433,0.080,4.192,3.299,1.270,3.719
25,0.394,4.127,0.291,1.224,0.769,1.591,0.970
26,0.855,5.999,0.298,1.731,1.408,1.230,1.561
27,0.964,8.195,0.180,2.157,1.619,1.332,1.869
28,0.234,2.376,0.520,0.842,0.634,1.328,0.731
29,7.575,57.968,0.028,6.891,4.768,1.445,5.732
30,13.215,61.820,0.043,9.404,6.270,1.500,7.679
31,0.307,3.422,0.329,1.000,0.830,1.206,0.911
32,1.015,6.562,0.296,2.087,1.453,1.436,1.741
33,0.489,4.047,0.375,1.415,0.787,1.797,1.056
34,0.285,2.910,0.423,1.033,0.606,1.704,0.791
35,0.263,2.184,0.693,0.975,0.454,2.145,0.665
36,0.292,2.960,0.419,1.081,0.580,1.863,0.792
37,0.183,1.671,0.821,0.735,0.403,1.824,0.544
38,3.952,19.217,0.134,4.178,2.677,1.560,3.344
39,0.343,3.543,0.344,1.453,0.535,2.715,0.882
40,0.716,5.123,0.343,1.888,0.652,2.894,1.110
41,0.256,2.718,0.435,1.190,0.438,2.720,0.722
42,0.278,2.989,0.390,1.095,0.604,1.811,0.813
43,1.074,9.955,0.136,2.485,1.197,2.075,1.725
44,0.248,1.943,0.827,0.806,0.508,1.588,0.640
45,0.562,4.298,0.383,1.470,0.856,1.718,1.122
46,10.454,69.352,0.027,10.697,4.793,2.232,7.161
47,0.862,6.874,0.229,1.754,1.435,1.222,1.587
48,5.844,42.344,0.041,6.407,3.592,1.784,4.797
49,0.161,2.768,0.264,1.140,0.342,3.335,0.624
50,0.256,2.739,0.428,0.892,0.674,1.323,0.776
51,0.555,4.369,0.366,1.541,0.875,1.760,1.161
52,0.256,2.034,0.777,0.730,0.601,1.215,0.662
53,0.475,4.439,0.303,1.898,0.584,3.247,1.053
54,0.175,1.772,0.702,0.735,0.469,1.567,0.587
55,0.599,4.519,0.369,1.597,0.905,1.765,1.202
56,0.993,8.525,0.172,2.550,0.874,2.917,1.493
57,1.512,11.876,0.135,2.759,1.709,1.614,2.172
58,2.038,9.542,0.281,2.867,1.896,1.512,2.332
59,3.324,22.276,0.084,6.656,1.659,4.012,3.323
60,1.096,6.995,0.281,2.191,1.190,1.841,1.615
61,0.205,1.772,0.819,0.689,0.513,1.344,0.594
62,2.915,22.031,0.075,5.324,1.927,2.763,3.203
63,0.285,2.284,0.686,0.842,0.598,1.407,0.710
