====== H (3000) into Invar+Pb-4Bi               =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Invar
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.715E22 atoms/cm3 = 8.226 g/cm3
  Layer # 1- Fe = 65   Atomic Percent = 63.8 Mass Percent
  Layer # 1- Ni = 35   Atomic Percent = 36.1 Mass Percent
Layer  2 : Pb-4Bi
Layer Width =     3.E+05 A ;
  Layer # 2- Density = 3.277E22 atoms/cm3 = 11.28 g/cm3
  Layer # 2- Pb = 96   Atomic Percent = 95.9 Mass Percent
  Layer # 2- Bi = 4    Atomic Percent = 4.03 Mass Percent
====================================================================
 Total Ions calculated =75579.00
 Total Target Vacancies     = 31 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
550001.E-02  2506.71E-09  3372.76E-09  
110000.E-01  8874.52E-09  2347.54E-08  
165000.E-01  6360.59E-09  1531.25E-08  
220000.E-01  8448.72E-09  1303.24E-08  
275000.E-01  8857.68E-09  2406.78E-08  
330000.E-01  8737.40E-09  2332.64E-08  
385000.E-01  8886.55E-09  2253.74E-08  
440000.E-01  9317.16E-09  2706.45E-08  
495000.E-01  9093.44E-09  2109.51E-08  
550000.E-01  9285.89E-09  2257.88E-08  
605000.E-01  9346.03E-09  1859.81E-08  
660000.E-01  9211.31E-09  1716.92E-08  
715000.E-01  9613.06E-09  1949.66E-08  
770000.E-01  9528.86E-09  2357.93E-08  
825000.E-01  9880.09E-09  2285.16E-08  
880000.E-01  9841.60E-09  1817.97E-08  
935000.E-01  9829.57E-09  2453.50E-08  
990000.E-01  9875.28E-09  2609.08E-08  
104500.E+00  1039.97E-08  2178.05E-08  
110000.E+00  1076.78E-08  3152.58E-08  
115500.E+00  1077.74E-08  3127.22E-08  
121000.E+00  1092.90E-08  3011.23E-08  
126500.E+00  1094.58E-08  2669.72E-08  
132000.E+00  1128.26E-08  2236.08E-08  
137500.E+00  1143.17E-08  2406.37E-08  
143000.E+00  1149.19E-08  2558.08E-08  
148500.E+00  1165.07E-08  3227.10E-08  
154000.E+00  1200.19E-08  2515.90E-08  
159500.E+00  1246.62E-08  2387.13E-08  
165000.E+00  1243.73E-08  3708.91E-08  
170500.E+00  1287.27E-08  2238.38E-08  
176000.E+00  1308.68E-08  2756.17E-08  
181500.E+00  1342.12E-08  3650.60E-08  
187000.E+00  1358.24E-08  2809.52E-08  
192500.E+00  1387.11E-08  3639.38E-08  
198000.E+00  1451.82E-08  3723.84E-08  
203500.E+00  1429.21E-08  2933.13E-08  
209000.E+00  1485.26E-08  3075.18E-08  
214500.E+00  1537.70E-08  3096.00E-08  
220000.E+00  1576.92E-08  3841.23E-08  
225500.E+00  1628.40E-08  3261.51E-08  
231000.E+00  1672.18E-08  3366.83E-08  
236500.E+00  1744.59E-08  3355.73E-08  
242000.E+00  1820.37E-08  4810.13E-08  
247500.E+00  1951.24E-08  4161.88E-08  
253000.E+00  1963.03E-08  4772.56E-08  
258500.E+00  1501.86E-08  3026.31E-08  
264000.E+00  1961.82E-08  3686.43E-08  
269500.E+00  2060.46E-08  3694.05E-08  
275000.E+00  2103.04E-08  4082.11E-08  
280500.E+00  2185.55E-08  3928.14E-08  
286000.E+00  2283.70E-08  3970.55E-08  
291500.E+00  2379.69E-08  4387.34E-08  
297000.E+00  2504.54E-08  4165.25E-08  
302500.E+00  2585.13E-08  4628.11E-08  
308000.E+00  2704.21E-08  4544.77E-08  
313500.E+00  2869.48E-08  5010.46E-08  
319000.E+00  3038.84E-08  5550.16E-08  
324500.E+00  3250.30E-08  5810.17E-08  
330000.E+00  3502.66E-08  5807.56E-08  
335500.E+00  3830.07E-08  6572.69E-08  
341000.E+00  4221.71E-08  6853.99E-08  
346500.E+00  4625.38E-08  7011.45E-08  
352000.E+00  5247.49E-08  7721.12E-08  
357500.E+00  6311.76E-08  9403.81E-08  
363000.E+00  7772.24E-08  1055.15E-07  
368500.E+00  9794.45E-08  1187.12E-07  
374000.E+00  1309.12E-07  1356.44E-07  
379500.E+00  1674.20E-07  1518.06E-07  
385000.E+00  1950.13E-07  1494.14E-07  
390500.E+00  1951.46E-07  1280.99E-07  
396000.E+00  1554.23E-07  9023.43E-08  
