 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,86.707,478.675,0.005,26.181,15.791,1.658,20.333
2,0.253,2.852,0.391,1.294,0.430,3.010,0.746
3,0.534,3.552,0.532,1.551,0.579,2.680,0.947
4,4.276,32.007,0.052,6.190,2.637,2.347,4.040
5,1.091,6.706,0.305,2.145,1.244,1.724,1.634
6,4.435,25.479,0.086,4.637,3.595,1.290,4.083
7,0.361,3.233,0.434,1.208,0.702,1.722,0.921
8,0.246,2.271,0.598,0.969,0.425,2.280,0.642
9,51.309,286.550,0.008,15.567,12.589,1.237,13.999
10,3.597,19.295,0.121,4.517,1.949,2.317,2.967
11,67.293,315.186,0.009,24.484,16.066,1.524,19.833
12,0.325,2.574,0.617,1.156,0.421,2.748,0.697
13,0.469,3.473,0.489,1.319,0.595,2.218,0.886
14,33.643,146.707,0.020,14.459,8.475,1.706,11.070
15,0.433,4.423,0.278,1.900,0.409,4.650,0.881
16,3.250,18.366,0.121,3.144,2.451,1.283,2.776
17,0.563,3.212,0.686,1.217,0.765,1.591,0.965
18,0.924,6.035,0.319,1.721,1.400,1.230,1.552
19,0.253,2.433,0.537,0.919,0.630,1.458,0.761
20,0.462,3.673,0.431,1.394,0.810,1.721,1.063
21,8.710,58.137,0.032,7.411,4.667,1.588,5.881
22,0.311,3.113,0.403,1.075,0.639,1.682,0.829
23,0.181,1.662,0.821,0.731,0.401,1.824,0.541
24,4.319,18.466,0.159,4.154,2.700,1.538,3.349
25,0.376,3.473,0.391,1.445,0.543,2.663,0.885
26,0.282,2.972,0.401,1.088,0.601,1.811,0.809
27,0.267,2.002,0.838,0.850,0.505,1.683,0.655
28,0.657,4.203,0.468,1.532,0.893,1.715,1.170
29,1.250,10.769,0.135,3.217,1.066,3.018,1.852
30,0.975,6.404,0.299,1.744,1.427,1.222,1.578
31,0.274,2.603,0.509,0.887,0.671,1.323,0.771
32,0.556,4.344,0.370,1.532,0.870,1.760,1.155
