fname,Total White Area(pixel),Total ROI Area(pixel),Total Ratio%,Mean of NorRatio%,Stddev of NorRatio%,RC(um)
CO_00.tif,87915,168753,52.0969,58.1204,4.9328,0.9853
CO_00.tif,65223,168753,38.65,44.8769,5.5388,0.9318
