 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,1.297,5.220,0.598,1.970,1.137,1.732,1.496
2,1.933,9.005,0.300,3.769,1.090,3.457,2.027
3,1.056,3.773,0.932,1.466,1.037,1.414,1.233
4,0.331,2.497,0.666,1.070,0.510,2.096,0.739
5,0.254,1.793,0.994,0.757,0.451,1.677,0.584
6,1.196,4.769,0.661,1.917,1.059,1.810,1.425
7,0.394,2.338,0.907,0.964,0.564,1.709,0.737
8,0.280,1.821,1.000,0.713,0.564,1.265,0.634
9,0.356,2.046,1.000,0.813,0.638,1.275,0.720
10,0.814,5.165,0.383,2.300,0.584,3.942,1.159
11,0.585,2.910,0.868,1.111,0.797,1.393,0.941
12,1.539,7.118,0.382,3.068,0.966,3.175,1.722
13,20.428,71.980,0.050,12.384,8.210,1.508,10.084
14,1.157,4.384,0.757,1.534,1.196,1.282,1.355
15,14.984,44.153,0.097,12.232,4.579,2.671,7.484
16,0.331,2.525,0.652,1.161,0.505,2.297,0.766
17,0.407,2.178,1.000,0.813,0.677,1.202,0.742
18,0.382,2.272,0.929,0.970,0.638,1.521,0.787
19,0.801,4.780,0.441,2.080,0.702,2.963,1.208
20,1.005,3.586,0.982,1.320,1.015,1.301,1.158
21,0.522,2.657,0.928,1.111,0.677,1.641,0.867
22,0.916,4.675,0.526,1.891,0.842,2.246,1.261
23,0.458,2.816,0.726,1.215,0.654,1.857,0.891
24,7.467,22.607,0.184,6.409,3.641,1.760,4.830
25,2.976,9.005,0.461,3.160,1.794,1.761,2.381
26,2.964,10.848,0.316,4.462,1.407,3.172,2.505
27,0.598,3.427,0.640,1.444,0.877,1.646,1.126
28,0.789,4.170,0.570,1.692,1.028,1.645,1.319
29,0.572,2.657,1.000,1.009,0.789,1.278,0.892
30,4.617,13.641,0.312,4.295,2.320,1.851,3.157
31,3.930,14.610,0.231,4.101,2.236,1.834,3.028
32,0.840,3.878,0.701,1.677,0.785,2.137,1.147
33,2.595,7.795,0.537,3.278,1.455,2.253,2.184
34,0.280,1.821,1.000,0.713,0.564,1.265,0.634
35,1.730,5.286,0.778,2.073,1.134,1.828,1.534
36,0.534,2.591,1.000,1.009,0.789,1.278,0.892
37,0.509,2.497,1.000,1.009,0.677,1.491,0.826
38,0.954,3.548,0.953,1.413,0.957,1.477,1.163
39,1.501,6.122,0.503,2.522,1.017,2.479,1.602
40,1.857,5.247,0.848,2.107,1.353,1.557,1.689
41,0.522,3.042,0.708,1.320,0.602,2.194,0.891
42,1.781,6.309,0.562,2.577,1.106,2.330,1.688
43,2.976,10.016,0.373,3.160,1.908,1.656,2.455
44,4.554,12.591,0.361,4.380,2.491,1.758,3.303
45,3.116,9.141,0.469,2.681,2.232,1.201,2.446
46,0.814,3.333,0.921,1.215,0.902,1.346,1.047
47,0.420,2.272,1.000,0.859,0.677,1.269,0.762
