index, 134,139,144,149,154,159,164,169,174,179,184,189,194,199,204,209,214,219,224,229,234,239,244,249,254
1, 36.1319,33.3597,31.1117,29.2014,27.4418,25.6535,24.0089,22.393,20.9566,19.4915,17.9259,16.5829,15.2111,13.9256,12.6616,11.376,9.9181,8.532,7.2249,5.8173,4.3953,3.2534,2.1833,1.2568,0.474
Mean, 36.1319,33.3597,31.1117,29.2014,27.4418,25.6535,24.0089,22.393,20.9566,19.4915,17.9259,16.5829,15.2111,13.9256,12.6616,11.376,9.9181,8.532,7.2249,5.8173,4.3953,3.2534,2.1833,1.2568,0.474,0
