index, 50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255
1, 100,100,99.9927,99.9781,99.9343,99.7735,99.3718,98.0422,94.7914,89.4295,80.3273,69.596,59.7341,52.4728,47.2496,42.9615,39.4258,36.2408,33.421,31.2368,29.016,27.4016,25.6629,23.9755,22.3975,20.7612,19.3002,17.9706,16.3708,15.0486,13.6168,12.2945,10.8408,9.6063,8.3059,7.0787,5.793,4.4927,3.4407,2.3596,1.4172,0.5333
2, 100,100,99.9927,99.9781,99.9416,99.8028,99.211,97.7427,94.565,88.9985,80.2542,70.4946,61.312,53.7001,48.4111,44.1742,40.7115,37.6726,34.9843,32.6686,30.572,28.6288,26.8025,24.9105,23.2084,21.426,19.8188,18.2921,16.7068,15.2604,13.5802,12.2142,10.8847,9.5186,8.1598,6.7865,5.5008,4.1566,3.1558,2.3157,1.3222,0.4529
3, 100,100,99.9927,99.9781,99.9416,99.6786,99.0065,97.3409,93.9148,88.341,79.8378,69.5814,59.588,52.2244,46.3949,41.7342,38.2424,35.1158,32.391,30.0825,28.1686,26.3496,24.516,22.7701,21.0972,19.5632,17.9999,16.6776,15.2166,13.5291,12.2361,10.7532,9.5113,8.3425,7.1152,6.0706,5.004,4.1274,3.0535,2.1477,1.2711,0.5187
4, 100,100,100,99.9927,99.9489,99.7955,99.2549,97.8961,94.7038,88.8012,79.8232,68.8874,58.463,50.6246,45.2042,41.0549,37.5411,34.809,32.2156,30.0825,28.1321,26.2547,24.5818,22.6971,21.3164,19.8042,17.9487,16.4585,14.939,13.5218,12.1704,10.8189,9.4309,8.1744,7.0348,5.8003,4.7191,3.7402,2.9221,2.0966,1.3222,0.4383
5, 99.9854,99.9854,99.9489,99.9343,99.8466,99.5471,98.8969,97.6258,95.1567,90.2549,81.5107,70.1877,59.3834,51.64,46.4022,42.0849,38.5054,35.4664,33.0703,30.7327,28.6946,26.598,24.7206,23.055,21.5136,20.0088,18.4309,17.1671,15.8887,14.6322,13.383,11.9512,10.3514,9.1387,8.0356,6.9399,5.793,4.668,3.5649,2.5349,1.6144,0.6721
Mean, 99.9971,99.9971,99.9854,99.9722,99.9226,99.7195,99.1482,97.7296,94.6263,89.165,80.3506,69.7494,59.6961,52.1324,46.7324,42.4019,38.8852,35.8609,33.2165,30.9606,28.9166,27.0465,25.2568,23.4816,21.9066,20.3127,18.6997,17.3132,15.8244,14.3984,12.9973,11.6064,10.2038,8.9561,7.7303,6.5352,5.362,4.237,3.2274,2.2909,1.3894,0.523,0
