 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.933,6.131,0.312,2.573,0.815,3.158,1.448
2,0.202,1.772,0.809,0.758,0.339,2.236,0.507
3,0.198,1.637,0.927,0.668,0.407,1.641,0.521
4,0.165,1.541,0.876,0.643,0.339,1.897,0.467
5,0.120,1.309,0.876,0.606,0.271,2.236,0.406
6,34.183,88.388,0.055,21.918,7.486,2.928,12.809
7,0.616,3.512,0.628,1.530,0.542,2.820,0.911
8,0.418,2.698,0.722,1.112,0.606,1.834,0.821
9,4.753,17.565,0.194,4.655,2.568,1.813,3.457
10,1.498,6.035,0.517,2.163,1.289,1.678,1.670
11,0.193,1.676,0.863,0.698,0.407,1.716,0.533
12,2.983,7.856,0.607,3.135,1.627,1.927,2.258
13,1.636,7.146,0.403,2.558,1.174,2.179,1.733
14,0.331,2.682,0.578,1.095,0.475,2.308,0.721
15,0.253,1.981,0.810,0.849,0.470,1.807,0.632
16,11.367,35.437,0.114,9.752,3.316,2.940,5.687
17,0.317,2.291,0.759,0.858,0.591,1.452,0.712
18,0.207,1.772,0.827,0.708,0.407,1.740,0.537
19,23.428,38.661,0.197,9.546,6.172,1.547,7.676
20,0.165,1.461,0.974,0.547,0.470,1.163,0.507
21,2.808,7.913,0.564,3.374,1.285,2.626,2.082
22,8.177,34.268,0.088,7.647,3.663,2.087,5.293
23,0.441,3.098,0.578,1.364,0.606,2.250,0.910
24,0.910,3.984,0.720,1.633,0.911,1.793,1.220
25,1.163,4.024,0.902,1.451,1.128,1.286,1.279
26,5.796,19.820,0.185,6.217,2.158,2.881,3.663
27,0.129,1.230,1.000,0.489,0.384,1.275,0.433
28,2.574,10.842,0.275,3.990,1.153,3.462,2.145
29,0.450,2.698,0.777,1.104,0.542,2.035,0.774
30,0.510,2.579,0.964,0.922,0.746,1.236,0.829
31,1.393,5.939,0.496,2.519,0.937,2.688,1.537
32,1.857,5.357,0.813,2.059,1.273,1.617,1.619
33,0.506,2.523,0.998,0.884,0.746,1.185,0.812
34,0.221,1.637,1.000,0.640,0.475,1.348,0.551
35,1.806,5.588,0.727,2.154,1.430,1.506,1.755
36,0.354,2.331,0.818,0.905,0.542,1.668,0.700
37,0.110,1.134,1.000,0.455,0.339,1.342,0.393
38,0.175,1.461,1.000,0.547,0.475,1.152,0.509
39,0.267,2.076,0.777,0.758,0.556,1.364,0.649
40,0.593,2.850,0.917,1.095,0.746,1.469,0.904
41,1.880,5.827,0.696,2.062,1.288,1.601,1.630
42,0.294,1.885,1.000,0.698,0.610,1.144,0.653
43,1.825,8.006,0.358,3.244,0.958,3.386,1.763
44,0.106,1.190,0.938,0.489,0.336,1.457,0.405
45,1.521,5.350,0.668,1.974,1.085,1.820,1.463
46,0.239,1.789,0.939,0.708,0.475,1.491,0.580
47,7.074,26.073,0.131,6.164,3.084,1.999,4.360
48,3.250,10.793,0.351,4.356,1.413,3.084,2.481
49,1.935,8.303,0.353,3.084,1.272,2.424,1.981
50,1.190,4.104,0.888,1.530,1.017,1.504,1.247
51,1.760,5.294,0.789,2.163,1.198,1.805,1.610
52,0.450,2.523,0.889,0.959,0.610,1.571,0.765
53,0.110,1.134,1.000,0.455,0.339,1.342,0.393
54,0.740,3.657,0.695,1.250,0.942,1.327,1.085
55,0.331,2.116,0.929,0.849,0.610,1.392,0.720
56,2.395,7.929,0.479,2.434,1.559,1.561,1.948
