 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
940,0.020,0.517,0.941,0.183,0.161,1.141,0.171
941,0.035,1.093,0.366,0.512,0.124,4.130,0.252
942,0.048,0.961,0.654,0.411,0.188,2.181,0.278
943,0.011,0.409,0.809,0.173,0.088,1.970,0.123
944,0.053,2.051,0.158,0.923,0.146,6.317,0.367
945,0.025,0.868,0.411,0.370,0.123,3.019,0.213
946,0.011,0.508,0.554,0.214,0.112,1.918,0.155
947,0.166,2.967,0.236,0.794,0.626,1.269,0.705
948,0.043,1.943,0.142,0.934,0.083,11.243,0.279
949,0.015,0.593,0.528,0.239,0.121,1.970,0.170
950,0.013,0.413,0.974,0.157,0.123,1.278,0.139
951,0.168,2.694,0.292,0.762,0.436,1.748,0.576
952,0.009,0.329,1.000,0.127,0.105,1.202,0.115
953,0.064,1.436,0.390,0.627,0.217,2.889,0.369
954,0.069,1.316,0.502,0.495,0.243,2.038,0.347
955,0.009,0.399,0.705,0.166,0.085,1.956,0.119
956,0.053,2.012,0.165,0.575,0.297,1.937,0.413
957,0.048,0.987,0.619,0.341,0.259,1.316,0.297
958,0.011,0.473,0.639,0.220,0.086,2.547,0.138
959,0.129,2.058,0.382,0.796,0.300,2.652,0.489
960,0.009,0.444,0.588,0.196,0.070,2.795,0.117
961,0.011,0.599,0.399,0.277,0.068,4.078,0.137
962,0.030,1.006,0.378,0.346,0.190,1.815,0.256
963,0.049,0.922,0.729,0.353,0.210,1.685,0.272
964,0.033,0.812,0.622,0.337,0.174,1.940,0.242
965,0.044,0.827,0.810,0.322,0.223,1.442,0.268
966,0.040,0.793,0.793,0.277,0.211,1.318,0.242
967,0.208,4.244,0.145,0.940,0.680,1.382,0.800
968,0.085,1.793,0.332,0.575,0.288,1.995,0.407
969,0.013,0.463,0.776,0.196,0.105,1.863,0.144
970,0.203,3.862,0.171,1.284,0.583,2.201,0.865
971,0.016,0.653,0.481,0.244,0.136,1.791,0.183
972,0.045,1.196,0.392,0.522,0.155,3.366,0.284
973,0.014,0.533,0.613,0.205,0.136,1.505,0.167
974,0.098,2.455,0.204,0.877,0.392,2.238,0.586
975,0.026,0.632,0.822,0.268,0.146,1.835,0.198
976,0.007,0.293,1.000,0.118,0.088,1.342,0.102
977,0.009,0.353,0.867,0.137,0.105,1.302,0.120
978,0.031,0.856,0.534,0.360,0.161,2.232,0.241
979,0.015,0.732,0.354,0.337,0.094,3.584,0.178
980,0.010,0.382,0.820,0.175,0.087,2.020,0.123
981,0.017,0.578,0.624,0.255,0.092,2.768,0.154
982,0.059,1.498,0.333,0.548,0.221,2.479,0.348
983,0.027,0.713,0.678,0.283,0.155,1.825,0.210
984,0.044,1.649,0.205,0.537,0.263,2.040,0.376
985,0.106,2.382,0.234,0.596,0.386,1.545,0.480
986,0.042,0.797,0.833,0.298,0.217,1.376,0.254
987,0.020,0.657,0.591,0.302,0.123,2.450,0.193
988,0.089,2.295,0.212,0.710,0.412,1.722,0.541
989,0.067,1.651,0.311,0.551,0.337,1.632,0.431
990,0.017,0.643,0.515,0.283,0.110,2.568,0.177
991,0.072,1.607,0.349,0.618,0.225,2.743,0.373
992,0.019,0.736,0.436,0.351,0.091,3.846,0.179
993,0.009,0.368,0.800,0.174,0.086,2.012,0.122
994,0.012,0.384,1.000,0.151,0.105,1.434,0.126
995,0.598,8.987,0.093,2.031,0.938,2.166,1.380
996,0.077,2.277,0.187,0.957,0.248,3.867,0.487
997,0.026,0.622,0.860,0.228,0.186,1.226,0.206
998,0.049,1.421,0.303,0.534,0.201,2.654,0.328
999,0.010,0.448,0.616,0.183,0.088,2.088,0.127
1000,0.196,3.898,0.162,1.020,0.571,1.786,0.763
1001,0.010,0.364,0.994,0.141,0.105,1.344,0.122
1002,0.022,1.116,0.221,0.495,0.092,5.412,0.213
1003,0.019,0.533,0.830,0.212,0.140,1.510,0.172
1004,0.054,1.533,0.288,0.681,0.133,5.135,0.301
1005,0.023,0.622,0.740,0.261,0.147,1.779,0.196
1006,0.034,0.977,0.446,0.405,0.154,2.630,0.250
1007,0.077,1.878,0.274,0.702,0.234,2.995,0.406
1008,0.049,1.002,0.609,0.405,0.175,2.309,0.267
1009,0.010,0.393,0.777,0.166,0.087,1.906,0.120
1010,0.012,0.438,0.806,0.200,0.099,2.016,0.141
1011,0.042,0.762,0.918,0.288,0.211,1.364,0.246
1012,0.015,0.779,0.306,0.337,0.092,3.676,0.176
1013,0.031,0.781,0.640,0.341,0.149,2.288,0.225
1014,0.014,0.504,0.700,0.222,0.088,2.530,0.140
1015,0.008,0.314,1.000,0.137,0.088,1.562,0.110
1016,0.018,0.847,0.323,0.372,0.109,3.399,0.202
1017,0.024,0.752,0.526,0.300,0.141,2.125,0.206
1018,0.008,0.333,0.943,0.141,0.087,1.629,0.111
1019,0.007,0.393,0.577,0.173,0.078,2.210,0.116
1020,0.024,0.866,0.402,0.335,0.161,2.078,0.232
1021,0.054,1.184,0.483,0.530,0.180,2.939,0.309
1022,0.203,3.968,0.162,0.915,0.526,1.738,0.694
1023,0.008,0.442,0.534,0.214,0.071,3.033,0.123
1024,0.015,0.587,0.550,0.268,0.094,2.844,0.159
1025,0.031,1.135,0.306,0.416,0.218,1.910,0.301
1026,0.055,1.386,0.362,0.580,0.173,3.344,0.317
1027,0.040,1.142,0.388,0.433,0.226,1.918,0.313
1028,0.050,1.401,0.323,0.531,0.204,2.600,0.329
1029,0.013,0.523,0.609,0.235,0.094,2.500,0.149
1030,0.028,0.773,0.590,0.333,0.140,2.372,0.216
1031,0.050,2.065,0.146,0.963,0.105,9.219,0.317
1032,0.026,0.872,0.422,0.353,0.140,2.512,0.222
1033,0.046,1.361,0.311,0.475,0.183,2.589,0.295
1034,0.006,0.343,0.690,0.166,0.066,2.500,0.105
1035,0.013,0.424,0.884,0.173,0.105,1.641,0.135
1036,0.017,1.114,0.168,0.530,0.065,8.127,0.186
1037,0.034,1.184,0.309,0.424,0.185,2.293,0.280
1038,0.062,1.628,0.295,0.581,0.263,2.212,0.391
1039,0.017,0.562,0.685,0.213,0.157,1.363,0.183
1040,0.027,0.777,0.564,0.288,0.148,1.939,0.207
1041,0.010,0.378,0.919,0.150,0.105,1.424,0.126
1042,0.014,0.424,0.992,0.166,0.123,1.348,0.143
1043,0.011,0.473,0.639,0.212,0.085,2.503,0.134
1044,0.007,0.457,0.408,0.225,0.060,3.767,0.116
1045,0.010,0.388,0.820,0.149,0.115,1.296,0.131
