 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.358,2.207,0.924,0.868,0.583,1.491,0.711
2,9.068,21.332,0.250,8.267,2.795,2.957,4.807
3,0.764,3.305,0.878,1.295,0.860,1.507,1.055
4,27.005,33.937,0.295,9.819,5.916,1.660,7.622
5,1.386,4.631,0.812,1.912,1.165,1.641,1.493
6,5.797,14.897,0.328,4.533,2.987,1.517,3.680
7,1.112,4.390,0.725,1.790,0.837,2.139,1.224
8,1.404,4.631,0.823,1.750,1.236,1.416,1.471
9,1.112,3.968,0.888,1.607,1.030,1.561,1.286
10,2.291,9.546,0.316,3.433,1.695,2.025,2.412
11,4.807,14.589,0.284,6.311,1.614,3.911,3.191
12,0.556,2.813,0.883,1.107,0.680,1.629,0.867
13,1.150,4.105,0.857,1.565,1.077,1.453,1.299
14,0.528,2.699,0.911,1.014,0.777,1.305,0.887
15,1.386,6.104,0.467,2.591,0.846,3.062,1.480
16,1.423,4.631,0.834,1.696,1.301,1.303,1.485
17,0.660,2.836,1.000,1.085,0.874,1.242,0.974
18,0.518,2.562,0.993,1.000,0.777,1.287,0.881
19,12.980,35.812,0.127,14.113,2.526,5.587,5.971
20,2.404,7.444,0.545,2.972,1.274,2.333,1.946
21,3.243,11.445,0.311,4.023,2.026,1.985,2.855
22,0.179,2.103,0.509,0.990,0.194,5.099,0.438
23,0.867,3.499,0.890,1.456,0.889,1.639,1.138
24,0.339,2.012,1.000,0.783,0.583,1.344,0.675
25,2.781,7.728,0.585,2.831,1.629,1.738,2.147
26,2.451,8.310,0.446,3.240,1.160,2.793,1.939
27,0.245,1.761,0.993,0.651,0.583,1.118,0.616
28,0.349,2.093,1.000,0.830,0.583,1.424,0.695
29,2.960,8.609,0.502,3.561,1.437,2.478,2.262
30,0.094,1.349,0.650,0.614,0.283,2.173,0.417
31,0.716,3.556,0.712,1.266,0.971,1.304,1.109
32,0.603,2.813,0.958,1.050,0.871,1.205,0.957
33,0.858,4.698,0.488,1.934,0.831,2.328,1.268
34,0.650,2.836,1.000,1.046,0.874,1.197,0.956
35,3.799,13.012,0.282,3.721,2.241,1.660,2.888
36,0.792,3.499,0.813,1.479,0.874,1.692,1.137
37,2.507,6.643,0.714,2.475,1.430,1.730,1.882
38,0.820,3.225,0.991,1.173,0.971,1.208,1.067
39,0.698,3.225,0.843,1.321,0.777,1.700,1.013
