 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.541,5.663,0.212,1.412,0.882,1.601,1.116
2,1.692,15.675,0.087,3.120,1.769,1.764,2.349
3,0.287,2.805,0.458,1.213,0.368,3.298,0.668
4,0.097,1.255,0.776,0.560,0.221,2.539,0.351
5,0.292,3.005,0.406,1.315,0.487,2.703,0.800
6,0.195,1.714,0.832,0.735,0.441,1.667,0.570
7,0.178,1.524,0.965,0.593,0.441,1.344,0.511
8,0.238,2.381,0.527,0.910,0.515,1.767,0.684
9,0.665,5.039,0.329,2.283,0.546,4.182,1.116
10,0.205,2.001,0.645,0.792,0.441,1.795,0.591
11,0.157,1.377,1.000,0.530,0.441,1.202,0.484
12,0.351,3.203,0.431,1.487,0.352,4.223,0.724
13,0.076,1.065,0.838,0.465,0.221,2.108,0.320
14,0.341,3.177,0.424,1.315,0.560,2.348,0.858
15,0.195,2.399,0.425,1.000,0.478,2.093,0.691
16,0.157,1.818,0.596,0.822,0.294,2.795,0.492
17,1.617,14.711,0.094,2.855,1.775,1.609,2.251
18,1.006,5.551,0.410,2.270,0.879,2.583,1.412
19,0.260,2.087,0.749,0.910,0.441,2.062,0.633
20,0.168,1.463,0.984,0.593,0.368,1.612,0.467
21,0.146,1.854,0.534,0.698,0.465,1.500,0.570
22,0.119,1.377,0.788,0.633,0.362,1.749,0.478
23,0.800,8.026,0.156,3.212,0.869,3.695,1.671
24,0.135,1.549,0.708,0.678,0.221,3.073,0.387
25,18.296,101.644,0.022,9.317,7.746,1.203,8.496
26,1.487,7.750,0.311,3.157,0.990,3.190,1.768
27,0.260,2.008,0.809,0.861,0.368,2.341,0.563
28,0.227,2.363,0.511,1.071,0.368,2.912,0.627
29,0.146,1.334,1.000,0.530,0.416,1.275,0.470
30,1.125,8.244,0.208,3.141,1.273,2.467,2.000
31,0.114,1.463,0.666,0.666,0.221,3.018,0.383
32,0.103,1.273,0.796,0.535,0.294,1.820,0.397
33,0.114,1.169,1.000,0.471,0.368,1.281,0.416
34,0.292,1.983,0.933,0.792,0.515,1.539,0.638
35,0.195,1.603,0.952,0.633,0.468,1.352,0.544
36,1.076,8.158,0.203,2.386,1.318,1.810,1.773
37,0.476,5.343,0.209,1.777,0.712,2.494,1.125
38,0.784,5.369,0.342,1.879,0.988,1.902,1.362
39,0.195,1.732,0.815,0.698,0.441,1.581,0.555
40,0.130,1.291,0.978,0.530,0.364,1.457,0.439
41,3.476,20.997,0.099,5.112,2.224,2.298,3.372
42,0.238,2.087,0.686,0.838,0.441,1.900,0.608
43,0.135,1.291,1.000,0.530,0.364,1.457,0.439
44,0.989,6.581,0.287,2.034,1.103,1.844,1.498
45,0.130,1.481,0.743,0.658,0.326,2.015,0.463
46,0.330,2.173,0.877,0.861,0.515,1.672,0.666
47,0.146,1.334,1.000,0.560,0.368,1.523,0.454
48,1.557,12.444,0.126,2.916,2.262,1.289,2.569
49,0.773,3.966,0.618,1.381,1.006,1.374,1.179
50,3.184,19.233,0.108,4.152,3.034,1.368,3.549
51,0.979,8.298,0.179,2.465,1.339,1.840,1.817
52,0.216,1.689,0.953,0.694,0.468,1.482,0.570
53,0.184,1.775,0.733,0.795,0.411,1.935,0.572
54,0.119,1.628,0.564,0.724,0.294,2.462,0.462
55,0.557,3.758,0.495,1.350,0.726,1.860,0.990
56,0.168,1.481,0.960,0.628,0.368,1.709,0.481
57,2.325,13.412,0.162,4.031,1.719,2.345,2.632
58,1.076,6.505,0.320,2.048,1.452,1.411,1.725
59,0.141,1.420,0.876,0.593,0.368,1.612,0.467
60,0.130,1.524,0.702,0.698,0.288,2.419,0.449
61,1.995,11.031,0.206,3.907,1.499,2.607,2.420
62,1.811,11.888,0.161,3.533,1.518,2.327,2.316
63,0.265,2.632,0.480,1.120,0.414,2.703,0.681
64,0.654,3.697,0.601,1.350,0.800,1.688,1.039
65,0.157,1.524,0.848,0.628,0.368,1.709,0.481
66,0.308,2.797,0.495,1.213,0.459,2.640,0.746
67,0.114,1.169,1.000,0.530,0.294,1.803,0.395
68,0.357,2.693,0.618,1.024,0.588,1.741,0.776
69,0.779,3.991,0.614,1.579,0.902,1.751,1.193
70,1.271,7.029,0.323,2.818,0.693,4.066,1.398
71,0.173,1.524,0.936,0.574,0.441,1.302,0.503
72,0.157,1.377,1.000,0.560,0.368,1.523,0.454
73,0.130,1.230,1.000,0.493,0.368,1.342,0.426
74,0.881,5.508,0.365,1.748,1.200,1.456,1.448
75,0.973,7.007,0.249,2.599,1.007,2.582,1.617
76,0.200,1.585,1.000,0.593,0.515,1.152,0.552
77,0.151,1.750,0.621,0.795,0.364,2.185,0.538
78,0.184,1.542,0.972,0.658,0.416,1.581,0.523
79,0.276,2.044,0.829,0.857,0.493,1.738,0.650
80,0.405,2.969,0.578,1.303,0.461,2.824,0.775
81,0.433,3.629,0.413,1.213,0.790,1.534,0.979
82,0.232,2.026,0.712,0.768,0.515,1.491,0.629
83,0.670,5.863,0.245,1.748,1.029,1.698,1.341
84,0.714,5.724,0.274,2.039,1.136,1.795,1.522
85,0.324,3.350,0.363,1.535,0.321,4.783,0.702
86,0.114,1.524,0.614,0.633,0.416,1.521,0.513
87,0.151,1.524,0.819,0.606,0.368,1.649,0.472
88,0.265,2.087,0.764,0.838,0.490,1.710,0.641
89,0.249,2.087,0.717,0.838,0.492,1.702,0.643
90,3.060,14.237,0.190,4.712,1.761,2.676,2.880
91,0.319,3.740,0.287,1.286,0.677,1.901,0.933
92,0.178,1.836,0.665,0.792,0.349,2.271,0.526
93,0.260,2.130,0.719,0.956,0.441,2.167,0.649
94,0.335,2.295,0.800,0.898,0.620,1.447,0.746
95,0.281,3.672,0.262,1.103,0.691,1.597,0.873
96,1.773,13.563,0.121,3.897,1.659,2.348,2.543
97,0.789,5.110,0.380,1.721,0.953,1.806,1.281
98,0.557,3.697,0.512,1.471,0.714,2.061,1.024
99,0.762,6.114,0.256,2.080,1.049,1.983,1.477
100,0.670,5.318,0.298,2.034,0.721,2.821,1.211
101,0.114,1.420,0.707,0.628,0.288,2.178,0.426
102,1.503,10.755,0.163,3.898,1.356,2.875,2.299
103,0.811,8.668,0.136,2.837,1.046,2.712,1.723
104,0.146,1.438,0.887,0.560,0.416,1.346,0.483
105,0.162,1.377,1.000,0.530,0.441,1.202,0.484
106,0.157,1.481,0.898,0.628,0.368,1.709,0.481
107,0.162,1.395,1.000,0.535,0.441,1.213,0.486
108,0.276,2.442,0.581,0.959,0.562,1.705,0.734
109,0.649,3.715,0.591,1.579,0.683,2.312,1.038
110,0.119,1.187,1.000,0.465,0.368,1.265,0.413
111,0.405,3.740,0.364,1.381,0.762,1.813,1.026
112,0.151,1.542,0.800,0.658,0.362,1.818,0.488
113,0.281,2.442,0.592,1.093,0.395,2.765,0.657
114,4.217,13.613,0.286,3.749,2.266,1.654,2.915
115,1.249,11.153,0.126,2.651,1.547,1.713,2.025
116,2.082,12.365,0.171,3.908,1.585,2.465,2.489
117,3.044,19.182,0.104,5.229,1.994,2.622,3.229
118,1.579,10.945,0.166,2.368,1.879,1.260,2.109
