 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,1.170,5.630,0.464,2.479,0.791,3.134,1.400
2,2.068,9.522,0.287,4.022,1.200,3.350,2.197
3,0.378,2.598,0.704,1.135,0.435,2.610,0.702
4,4.336,20.809,0.126,4.370,2.609,1.675,3.376
5,0.284,1.818,1.000,0.729,0.543,1.342,0.630
6,3.355,15.591,0.173,4.622,2.254,2.050,3.228
7,3.273,9.882,0.421,3.396,2.039,1.666,2.631
8,1.276,5.196,0.594,2.136,0.978,2.183,1.445
9,0.969,4.607,0.574,1.960,0.739,2.651,1.204
10,1.193,4.543,0.726,1.719,1.087,1.581,1.367
11,1.642,6.272,0.525,2.374,1.031,2.303,1.564
12,2.446,8.180,0.459,3.074,1.328,2.315,2.021
13,1.335,5.376,0.581,2.136,0.978,2.183,1.445
14,0.319,2.444,0.671,1.135,0.326,3.480,0.608
15,0.839,3.775,0.740,1.478,0.761,1.943,1.061
16,0.591,2.932,0.864,1.272,0.652,1.951,0.911
17,0.933,3.520,0.947,1.362,0.978,1.392,1.154
18,5.340,19.944,0.169,6.634,2.507,2.647,4.078
19,0.402,2.407,0.871,1.071,0.543,1.970,0.763
20,2.706,8.667,0.453,3.453,1.607,2.149,2.355
21,1.052,5.286,0.473,2.241,0.819,2.736,1.355
22,4.809,21.805,0.127,9.472,1.458,6.497,3.716
23,3.674,9.675,0.493,3.803,1.841,2.065,2.646
24,6.285,18.698,0.226,5.466,3.715,1.471,4.506
25,2.989,13.661,0.201,4.622,2.198,2.103,3.187
26,0.260,1.755,1.000,0.687,0.543,1.265,0.611
27,0.591,2.932,0.864,1.135,0.761,1.491,0.929
28,6.569,27.181,0.112,8.548,3.152,2.712,5.191
29,0.508,4.225,0.358,1.753,0.720,2.435,1.123
30,11.389,31.920,0.140,6.029,4.565,1.321,5.246
31,0.473,2.534,0.925,1.025,0.652,1.572,0.818
32,0.673,2.958,0.967,1.135,0.870,1.305,0.993
33,0.910,4.352,0.603,1.698,0.992,1.712,1.298
34,1.441,4.941,0.742,2.110,0.978,2.157,1.437
35,0.390,2.189,1.000,0.876,0.652,1.344,0.756
36,1.170,5.837,0.431,2.384,1.169,2.040,1.669
37,1.004,4.071,0.761,1.656,0.856,1.933,1.191
38,0.248,1.882,0.880,0.784,0.535,1.466,0.647
39,0.484,2.433,1.000,0.929,0.761,1.221,0.841
40,0.567,2.868,0.866,1.176,0.769,1.530,0.951
41,0.673,2.868,1.000,1.071,0.870,1.231,0.965
42,2.044,8.551,0.351,3.561,1.246,2.858,2.106
43,0.532,3.175,0.663,1.327,0.692,1.918,0.958
44,1.359,5.927,0.486,2.584,0.834,3.098,1.468
45,2.847,11.175,0.287,4.784,1.133,4.224,2.328
46,0.756,4.161,0.549,1.698,0.769,2.209,1.142
47,1.879,9.001,0.291,3.767,1.043,3.610,1.983
48,0.851,3.764,0.755,1.458,0.922,1.581,1.160
49,1.701,6.976,0.439,2.629,1.266,2.077,1.824
50,10.125,39.856,0.080,7.525,5.304,1.419,6.318
51,0.874,4.723,0.492,2.042,0.706,2.891,1.201
52,0.733,3.303,0.844,1.392,0.784,1.776,1.045
53,3.155,9.855,0.408,4.132,1.510,2.737,2.498
54,7.845,33.218,0.089,9.071,3.610,2.513,5.722
55,0.307,1.882,1.000,0.729,0.543,1.342,0.630
56,0.284,1.818,1.000,0.729,0.543,1.342,0.630
57,0.933,4.506,0.578,1.605,1.191,1.348,1.382
58,0.354,2.036,1.000,0.784,0.652,1.202,0.715
59,0.284,1.972,0.916,0.791,0.543,1.456,0.656
60,0.898,4.199,0.640,1.822,0.731,2.493,1.154
61,5.955,19.864,0.190,7.550,2.218,3.405,4.092
62,6.853,26.406,0.123,5.262,3.840,1.370,4.495
63,1.276,4.776,0.703,1.793,1.236,1.450,1.489
64,0.473,2.497,0.953,0.972,0.756,1.286,0.857
65,3.615,13.428,0.252,4.348,1.908,2.279,2.880
66,2.895,12.104,0.248,5.542,0.879,6.303,2.208
67,0.969,5.338,0.427,2.201,0.908,2.424,1.413
68,0.744,3.520,0.755,1.430,0.761,1.879,1.043
69,1.914,8.959,0.300,3.735,1.135,3.291,2.059
70,0.473,4.056,0.361,1.861,0.326,5.706,0.779
71,1.737,7.862,0.353,2.822,1.450,1.947,2.022
72,2.398,10.141,0.293,4.086,1.266,3.227,2.275
73,2.706,8.652,0.454,2.870,1.819,1.578,2.284
74,1.654,6.208,0.539,2.558,1.191,2.149,1.745
75,0.260,1.882,0.922,0.729,0.543,1.342,0.630
76,0.425,2.253,1.000,0.876,0.652,1.344,0.756
77,0.272,1.972,0.878,0.828,0.535,1.548,0.665
78,0.591,2.688,1.000,1.025,0.761,1.348,0.883
79,1.122,7.152,0.276,3.268,0.652,5.011,1.460
80,4.490,23.872,0.099,8.937,2.573,3.473,4.795
81,1.040,3.981,0.824,1.450,1.065,1.362,1.243
82,0.414,2.470,0.851,1.031,0.543,1.897,0.749
83,1.300,6.590,0.376,2.957,0.661,4.476,1.398
84,0.792,4.750,0.441,1.663,0.978,1.700,1.275
85,1.229,5.248,0.561,2.088,1.025,2.037,1.463
86,1.772,6.722,0.493,2.967,0.967,3.069,1.693
87,6.510,22.388,0.163,5.026,3.581,1.403,4.243
88,0.295,2.189,0.774,0.896,0.543,1.649,0.698
89,0.543,3.329,0.616,1.478,0.541,2.735,0.894
90,0.886,3.520,0.899,1.458,0.870,1.677,1.126
91,0.272,2.279,0.657,1.002,0.538,1.863,0.734
92,0.390,3.085,0.515,1.344,0.531,2.532,0.845
93,2.363,8.074,0.455,3.613,0.966,3.742,1.868
94,0.390,2.279,0.943,1.025,0.583,1.758,0.773
95,0.378,2.253,0.936,0.929,0.543,1.709,0.710
96,1.371,8.026,0.267,2.654,1.497,1.772,1.993
97,0.331,2.126,0.920,0.876,0.573,1.530,0.708
98,1.571,5.619,0.625,2.341,1.116,2.098,1.616
99,17.415,31.431,0.222,8.070,4.680,1.724,6.145
100,0.532,2.932,0.777,1.309,0.692,1.892,0.952
101,0.414,2.651,0.740,1.176,0.565,2.080,0.815
102,1.087,4.379,0.712,1.656,1.203,1.377,1.411
103,3.509,14.557,0.208,3.306,2.531,1.306,2.893
104,0.508,2.624,0.927,1.031,0.652,1.581,0.820
105,0.922,4.904,0.482,2.088,0.913,2.286,1.381
106,0.437,2.343,1.000,0.972,0.652,1.491,0.796
107,1.146,5.481,0.479,2.351,0.832,2.826,1.399
108,1.973,10.677,0.218,3.169,1.788,1.773,2.380
109,2.115,9.548,0.292,3.613,1.211,2.983,2.092
110,0.319,2.036,0.967,0.876,0.543,1.612,0.690
111,1.690,9.627,0.229,3.006,1.725,1.743,2.277
112,0.414,2.497,0.834,1.071,0.615,1.741,0.811
113,1.158,4.967,0.590,2.141,0.823,2.600,1.328
114,0.425,2.842,0.662,1.272,0.543,2.341,0.832
115,0.626,2.868,0.957,1.119,0.845,1.324,0.973
116,0.543,2.868,0.830,1.215,0.653,1.861,0.891
117,0.366,2.587,0.688,1.087,0.615,1.768,0.818
118,3.804,13.646,0.257,3.871,2.743,1.411,3.259
119,2.457,9.331,0.355,3.318,1.594,2.082,2.300
120,1.040,5.852,0.381,2.185,1.207,1.811,1.624
121,0.697,3.175,0.869,1.272,0.845,1.505,1.037
122,0.520,2.741,0.870,1.176,0.663,1.773,0.883
123,0.650,2.868,0.993,1.176,0.826,1.423,0.986
124,0.484,2.804,0.774,1.239,0.615,2.016,0.873
125,0.366,2.560,0.702,1.071,0.576,1.860,0.785
126,8.696,39.421,0.070,11.619,2.930,3.965,5.835
127,0.390,2.407,0.846,1.002,0.543,1.844,0.738
128,1.264,6.452,0.382,2.700,1.075,2.511,1.704
129,9.003,38.519,0.076,9.110,3.655,2.493,5.770
130,0.555,3.149,0.704,1.344,0.652,2.062,0.936
131,0.366,2.099,1.000,0.828,0.543,1.523,0.671
132,0.933,4.453,0.591,2.004,0.652,3.073,1.143
133,0.260,1.818,0.988,0.729,0.543,1.342,0.630
134,0.626,5.147,0.297,2.413,0.550,4.388,1.152
135,12.973,48.214,0.070,8.024,4.359,1.841,5.914
136,0.591,3.022,0.813,1.313,0.681,1.930,0.945
137,0.898,5.784,0.337,2.341,0.983,2.381,1.517
138,0.768,3.764,0.681,1.450,0.845,1.715,1.107
139,6.002,23.698,0.134,8.979,1.529,5.872,3.705
140,4.738,26.046,0.088,7.637,2.365,3.229,4.250
141,1.122,6.722,0.312,2.201,1.169,1.883,1.604
142,3.379,11.355,0.329,4.482,1.379,3.249,2.486
143,0.437,3.033,0.597,1.375,0.435,3.162,0.773
144,1.028,4.199,0.733,1.719,0.870,1.976,1.222
145,0.331,2.126,0.920,0.896,0.543,1.649,0.698
146,0.461,2.624,0.841,1.119,0.619,1.809,0.832
147,0.839,5.031,0.416,1.935,1.146,1.689,1.489
148,0.815,5.068,0.399,2.303,0.679,3.391,1.251
149,0.662,5.508,0.274,2.700,0.445,6.063,1.097
150,1.760,13.046,0.130,3.006,2.189,1.373,2.565
151,3.580,11.441,0.344,3.740,2.075,1.802,2.786
152,0.591,3.149,0.749,1.313,0.722,1.820,0.974
153,0.390,2.189,1.000,0.828,0.652,1.269,0.735
154,3.355,17.409,0.139,5.595,2.174,2.574,3.488
155,3.710,14.001,0.238,5.369,1.560,3.442,2.894
156,0.827,4.660,0.479,2.042,0.724,2.819,1.216
157,1.323,6.605,0.381,2.509,1.173,2.139,1.716
158,0.862,4.776,0.475,2.158,0.731,2.951,1.256
159,5.872,25.431,0.114,7.194,3.655,1.968,5.128
160,0.272,1.818,1.000,0.729,0.543,1.342,0.630
161,1.772,6.722,0.493,2.872,1.069,2.685,1.752
162,0.567,2.842,0.883,1.135,0.652,1.740,0.860
163,0.484,2.470,0.997,0.972,0.652,1.491,0.796
164,0.402,2.216,1.000,0.876,0.692,1.267,0.779
165,2.044,9.230,0.302,3.500,1.483,2.360,2.279
166,0.319,1.972,1.000,0.876,0.543,1.612,0.690
167,0.520,3.621,0.498,1.663,0.435,3.824,0.850
168,0.496,2.842,0.772,1.239,0.543,2.280,0.821
169,0.543,2.868,0.830,1.309,0.615,2.129,0.897
170,2.103,8.090,0.404,2.689,1.559,1.725,2.047
171,0.579,3.700,0.531,1.556,0.632,2.463,0.992
172,0.520,3.112,0.675,1.239,0.728,1.702,0.950
173,0.709,3.970,0.565,1.809,0.625,2.895,1.063
