 ,Length
1,1.68
2,1.39
3,0.80
4,0.82
5,2.24
6,2.17
7,1.73
8,1.86
9,1.54
10,1.24
11,2.15
12,1.97
13,1.63
14,1.32
15,1.08
16,2.04
17,1.21
18,1.88
19,2.88
20,1.81
21,1.97
22,2.53
23,1.97
24,1.44
25,0.86
26,2.21
27,6.40
28,2.87
29,1.12
30,3.44
31,4.25
32,2.39
33,1.23
34,1.26
35,1.29
36,4.05
37,1.82
38,1.09
39,2.15
40,1.39
41,2.92
42,0.53
43,0.59
44,0.44
45,0.63
46,0.52
47,2.35
48,1.00
49,0.95
50,1.30
51,2.76
52,1.06
53,1.69
54,1.01
55,1.33
56,2.31
57,0.54
58,0.95
59,2.69
60,1.04
61,3.28
62,1.33
63,1.90
64,5.22
65,5.07
66,2.27
67,2.70
68,5.90
69,1.19
70,0.76
71,1.48
72,1.24
73,2.70
74,1.85
75,1.28
76,0.82
77,2.16
78,1.37
79,0.92
80,2.57
81,1.53
82,1.36
83,0.79
84,0.83
85,0.77
86,0.85
87,0.88
88,1.15
89,1.16
90,0.54
91,3.59
92,0.68
93,0.90
94,1.92
95,1.72
96,2.63
97,0.82
98,1.00
99,2.28
100,2.71
101,0.51
102,0.76
103,0.84
104,0.84
105,1.19
106,1.01
107,1.05
108,0.58
109,1.68
110,1.50
111,0.55
112,2.73
113,2.09
114,1.56
115,3.64
116,0.83
117,1.80
118,1.44
119,2.72
120,1.35
121,1.03
122,0.73
123,0.74
124,1.37
125,0.97
126,0.78
127,0.67
128,0.66
129,0.84
130,0.76
131,4.62
132,0.44
133,0.49
134,1.37
135,1.04
136,0.29
137,0.68
138,0.96
139,1.24
140,1.61
141,0.86
142,1.55
143,1.45
144,1.26
145,0.54
146,0.93
147,0.82
148,0.87
149,1.59
150,1.42
151,1.54
