 ,Length
1,1.06
2,1.13
3,1.51
4,0.89
5,0.89
6,0.87
7,0.58
8,0.54
9,0.44
10,0.37
11,1.45
12,1.47
13,0.9
14,0.52
15,0.37
16,0.7
17,0.81
18,0.1
19,0.39
20,0.37
21,0.42
22,0.38
23,0.18
24,0.49
25,0.24
26,0.16
27,0.97
28,0.33
29,0.41
30,0.48
31,0.54
32,0.12
33,0.59
34,0.36
35,0.23
36,1.5
37,0.09
38,0.15
39,0.15
40,0.12
41,0.12
42,0.26
43,1.88
44,1.94
45,0.26
46,0.15
47,0.3
48,2.17
49,1.11
50,0.46
51,0.29
52,0.42
53,1.12
54,1.63
55,0.93
56,0.44
57,0.81
58,0.5
59,0.13
60,0.35
61,0.19
62,1.32
63,0.2
64,0.72
65,0.45
66,0.6
67,0.47
68,0.38
69,0.39
70,0.28
71,0.27
72,0.08
73,0.27
74,0.21
75,0.38
76,0.18
77,0.16
78,0.28
79,0.18
80,0.35
81,0.87
82,0.26
83,0.82
84,1.78
85,0.31
86,0.87
87,0.53
88,1.35
89,0.26
90,0.32
91,0.23
92,0.68
93,0.88
94,0.23
95,2.23
96,0.5
97,0.23
98,0.2
99,0.58
100,0.41
101,0.48
102,0.59
103,0.4
104,0.52
105,0.17
106,0.28
107,1.01
108,0.51
109,0.23
110,0.53
111,0.2
112,0.33
113,0.5
114,0.63
115,0.11
116,0.28
117,0.29
118,0.33
119,0.65
120,1.65
121,0.14
122,0.19
123,0.87
124,0.72
125,0.54
126,0.7
127,0.29
128,0.24
129,0.43
130,1.56
131,0.49
132,0.28
133,0.39
134,0.18
135,0.37
136,0.26
137,0.35
138,0.37
139,0.56
140,0.65
141,0.21
142,0.24
143,0.13
144,0.22
145,0.38
146,0.16
147,0.2
148,0.17
149,1.08
150,0.43
151,0.09
152,0.4
153,0.23
154,0.4
155,0.2
156,0.36
157,0.46
158,0.07
159,0.3
160,0.43
161,0.15
162,0.16
163,0.26
164,0.36
165,0.15
166,0.47
167,0.36
168,0.34
169,0.13
170,0.55
171,0.18
172,0.16
173,0.28
174,0.14
175,0.12
176,0.2
177,0.34
178,0.3
179,0.1
180,0.29
181,0.57
182,0.23
183,0.19
184,0.13
185,0.29
186,0.54
187,0.58
188,0.67
189,0.48
190,0.57
191,0.25
192,0.24
193,0.49
194,0.33
195,0.22
196,0.53
197,0.44
198,0.2
199,0.13
200,0.26
201,0.44
202,0.44
203,0.14
204,0.28
205,0.25
206,0.15
207,0.2
208,0.14
209,0.18
210,0.55
211,0.13
212,0.36
213,0.32
214,0.27
215,0.65
216,0.7
217,0.32
218,0.44
219,0.86
220,0.17
221,0.35
222,0.52
223,0.26
224,0.48
225,1.29
226,0.53
227,0.64
228,0.34
229,0.67
230,1.15
231,0.25
232,0.22
233,1.26
234,0.46
235,0.93
236,0.47
237,0.14
238,0.99
239,0.11
240,0.16
241,0.54
242,0.61
243,0.5
244,0.33
245,0.53
246,0.33
247,0.81
248,0.5
249,0.21
250,0.23
251,1.93
252,0.38
253,0.34
254,0.15
255,0.31
256,0.18
257,0.42
258,0.37
259,0.88
260,0.32
261,0.67
262,0.22
263,0.21
264,0.19
265,0.65
266,0.16
267,0.25
268,0.64
269,0.45
270,0.95
271,1.02
272,2.49
273,1.04
274,0.81
275,1.16
276,1.38
277,1.38
278,0.75
279,0.94
280,0.92
281,1.86
282,2.25
283,0.98
284,1.77
285,1.1
286,1.41
287,1.72
288,0.89
289,1.92
290,0.9
291,1.06
292,1.15
293,1.79
294,0.74
295,0.92
296,1.08
297,0.57
