 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.931,3.857,0.787,1.530,0.975,1.569,1.222
2,2.120,6.579,0.616,2.314,1.305,1.774,1.737
3,0.320,2.172,0.853,0.854,0.576,1.483,0.702
4,0.634,3.885,0.528,1.353,0.776,1.743,1.025
5,0.096,1.124,0.953,0.438,0.345,1.269,0.388
6,1.869,7.425,0.426,3.025,1.043,2.901,1.776
7,0.723,3.350,0.810,1.157,0.977,1.184,1.063
8,5.262,17.584,0.214,6.649,2.504,2.656,4.080
9,0.423,2.349,0.963,0.800,0.731,1.094,0.765
10,0.086,1.062,0.956,0.463,0.230,2.016,0.326
11,0.059,1.076,0.645,0.474,0.230,2.062,0.330
12,3.310,8.235,0.613,3.009,1.870,1.609,2.372
13,0.145,1.387,0.949,0.545,0.345,1.581,0.434
14,6.077,15.890,0.302,4.721,2.487,1.898,3.427
15,0.968,3.804,0.841,1.389,1.023,1.358,1.192
16,1.202,4.249,0.837,1.527,1.092,1.398,1.291
17,0.737,3.187,0.911,1.116,0.862,1.294,0.981
18,0.086,0.995,1.000,0.386,0.287,1.342,0.333
19,2.897,8.650,0.486,3.284,1.593,2.062,2.287
20,2.659,7.885,0.537,2.936,1.774,1.655,2.282
21,1.225,5.034,0.608,2.105,1.068,1.971,1.499
22,1.893,6.231,0.612,2.659,0.977,2.722,1.612
23,0.122,1.469,0.712,0.643,0.287,2.236,0.430
24,0.955,3.885,0.795,1.547,0.882,1.754,1.168
25,1.100,4.190,0.787,1.509,1.108,1.361,1.293
26,4.938,11.950,0.435,3.564,2.666,1.337,3.082
27,0.575,2.904,0.856,1.005,0.862,1.167,0.931
28,0.872,3.742,0.782,1.465,0.850,1.723,1.116
29,0.350,2.503,0.702,0.963,0.517,1.863,0.706
30,2.035,6.391,0.626,2.679,0.987,2.714,1.626
31,2.111,5.819,0.783,2.108,1.302,1.620,1.657
32,0.195,1.584,0.976,0.622,0.460,1.352,0.535
33,0.304,2.335,0.700,0.948,0.480,1.977,0.674
34,1.678,7.201,0.407,3.035,0.973,3.120,1.718
35,2.193,6.259,0.703,2.438,1.259,1.936,1.752
36,9.526,25.158,0.189,8.513,3.661,2.325,5.583
37,4.753,14.503,0.284,4.944,2.073,2.385,3.201
38,0.680,3.126,0.875,1.104,0.862,1.281,0.976
39,0.535,2.904,0.797,1.162,0.676,1.719,0.887
40,0.073,0.961,0.988,0.386,0.287,1.342,0.333
41,5.645,19.316,0.190,5.747,2.737,2.100,3.966
42,0.429,2.430,0.914,0.900,0.691,1.302,0.788
43,2.249,7.552,0.496,3.043,1.251,2.432,1.951
44,0.591,2.890,0.890,1.036,0.805,1.288,0.913
45,1.833,5.550,0.748,2.164,1.310,1.652,1.684
46,0.281,2.077,0.818,0.771,0.517,1.491,0.632
47,1.552,5.015,0.776,1.763,1.181,1.492,1.443
48,2.312,7.655,0.496,2.879,1.222,2.355,1.876
49,1.364,4.886,0.718,1.967,0.977,2.014,1.386
50,1.856,5.679,0.723,2.232,1.207,1.849,1.641
51,0.324,2.139,0.889,0.829,0.565,1.466,0.685
52,23.590,54.192,0.101,12.944,6.444,2.009,9.133
53,0.350,2.186,0.920,0.837,0.575,1.456,0.693
54,0.519,2.680,0.907,0.943,0.797,1.183,0.866
55,0.201,1.617,0.968,0.592,0.460,1.287,0.522
56,0.254,1.841,0.942,0.643,0.569,1.129,0.605
57,0.297,1.942,0.990,0.694,0.575,1.208,0.632
58,1.225,4.426,0.786,1.748,0.977,1.789,1.307
59,3.329,11.397,0.322,3.789,1.954,1.939,2.721
60,6.170,15.932,0.305,5.784,2.423,2.388,3.743
61,15.798,37.623,0.140,12.649,4.491,2.816,7.537
62,0.284,1.976,0.914,0.727,0.517,1.405,0.613
63,0.789,3.554,0.785,1.451,0.731,1.983,1.030
64,0.538,3.675,0.501,1.340,0.749,1.789,1.002
65,1.050,4.373,0.690,1.783,0.951,1.874,1.302
