 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,1.013,4.927,0.524,1.786,0.835,2.140,1.221
2,1.045,5.186,0.488,1.630,1.252,1.302,1.429
3,0.414,3.196,0.509,1.357,0.562,2.414,0.873
4,0.632,5.150,0.299,2.240,0.659,3.401,1.215
5,0.795,3.883,0.662,1.551,0.949,1.634,1.214
6,0.512,3.171,0.640,1.392,0.522,2.668,0.852
7,0.534,4.081,0.403,1.400,0.939,1.491,1.147
8,0.338,2.310,0.795,0.990,0.522,1.897,0.719
9,0.272,2.580,0.514,1.064,0.522,2.040,0.745
10,0.359,3.552,0.358,1.551,0.543,2.859,0.917
11,8.210,39.238,0.067,9.207,4.201,2.192,6.219
12,1.622,9.069,0.248,3.407,1.226,2.778,2.044
13,2.842,13.838,0.187,3.531,2.246,1.572,2.816
14,3.517,20.657,0.104,4.344,2.505,1.734,3.299
15,0.185,1.659,0.845,0.752,0.417,1.803,0.560
16,1.611,9.695,0.215,2.886,1.503,1.921,2.083
17,36.955,153.295,0.020,13.622,11.700,1.164,12.625
18,0.207,1.659,0.944,0.668,0.522,1.281,0.590
19,7.143,31.029,0.093,9.021,2.421,3.726,4.673
20,1.895,8.626,0.320,2.547,2.100,1.213,2.313
21,0.512,3.970,0.408,1.565,0.871,1.796,1.168
22,0.479,4.066,0.364,1.483,0.897,1.653,1.154
23,0.555,3.761,0.493,1.505,0.770,1.956,1.076
24,2.036,10.581,0.229,3.741,1.535,2.437,2.396
25,0.120,1.242,0.976,0.562,0.313,1.795,0.419
26,1.720,9.659,0.232,2.524,1.850,1.364,2.161
27,1.568,6.525,0.463,2.218,1.774,1.251,1.984
28,0.871,5.726,0.334,1.881,1.370,1.373,1.605
29,0.697,4.448,0.443,1.589,0.835,1.904,1.152
30,2.189,11.527,0.207,3.928,1.623,2.420,2.525
31,0.305,2.015,0.943,0.841,0.522,1.612,0.663
32,0.468,3.710,0.427,1.476,0.763,1.934,1.061
33,3.071,17.044,0.133,4.439,1.967,2.257,2.955
34,0.348,2.901,0.520,1.274,0.543,2.345,0.832
35,0.838,6.107,0.282,2.110,1.124,1.877,1.540
36,0.316,2.962,0.452,1.257,0.555,2.266,0.835
37,0.305,2.753,0.505,1.167,0.487,2.394,0.754
38,0.305,2.544,0.592,1.167,0.463,2.519,0.735
39,0.240,1.771,0.960,0.752,0.443,1.700,0.577
40,0.936,5.186,0.438,1.593,1.120,1.422,1.336
41,0.294,1.893,1.000,0.795,0.522,1.523,0.644
42,0.359,3.379,0.395,1.453,0.480,3.026,0.836
43,0.381,2.397,0.834,0.933,0.647,1.443,0.777
44,0.599,3.761,0.532,1.633,0.653,2.500,1.033
45,0.708,4.509,0.437,1.737,0.934,1.859,1.274
46,0.381,3.023,0.524,1.269,0.417,3.041,0.728
47,1.209,5.776,0.455,1.795,1.339,1.340,1.551
48,0.359,2.310,0.846,0.933,0.626,1.491,0.764
49,0.958,5.837,0.353,1.881,1.260,1.493,1.540
50,0.893,4.855,0.476,1.650,1.162,1.419,1.385
51,0.534,3.379,0.587,1.357,0.730,1.857,0.995
52,1.797,10.764,0.195,3.651,1.413,2.583,2.272
53,0.370,2.728,0.625,1.167,0.492,2.372,0.757
54,3.071,13.960,0.198,4.573,1.916,2.388,2.960
55,0.436,3.822,0.375,1.167,0.939,1.242,1.047
56,0.261,2.606,0.484,1.064,0.417,2.550,0.666
57,2.319,14.647,0.136,4.358,1.788,2.437,2.792
58,1.688,9.954,0.214,3.508,1.164,3.013,2.021
59,0.338,2.102,0.960,0.860,0.522,1.649,0.670
60,0.359,2.336,0.828,0.984,0.516,1.906,0.713
61,0.446,3.700,0.410,1.419,0.626,2.267,0.943
62,0.229,1.684,1.000,0.752,0.513,1.466,0.621
63,0.240,1.868,0.863,0.795,0.417,1.904,0.576
64,0.294,2.102,0.836,0.933,0.522,1.789,0.698
65,0.468,4.916,0.243,1.686,0.963,1.750,1.274
66,4.693,26.164,0.086,5.277,2.995,1.762,3.976
67,0.229,1.720,0.971,0.738,0.522,1.414,0.620
68,1.361,8.479,0.238,2.592,1.541,1.682,1.999
69,1.154,8.209,0.215,2.988,0.945,3.163,1.680
70,0.283,2.519,0.561,1.043,0.516,2.020,0.734
71,6.359,26.358,0.115,7.999,2.134,3.749,4.131
72,2.570,14.082,0.163,3.372,2.388,1.412,2.837
73,1.416,8.443,0.250,2.966,1.244,2.383,1.921
74,2.417,12.214,0.204,4.715,1.361,3.464,2.533
75,0.305,2.249,0.757,0.962,0.570,1.687,0.741
76,0.305,2.753,0.505,1.190,0.453,2.626,0.734
77,2.112,15.939,0.104,3.277,2.380,1.377,2.793
78,0.784,5.222,0.361,2.214,0.625,3.541,1.176
79,1.328,8.357,0.239,2.879,1.353,2.127,1.974
80,0.327,2.336,0.752,0.933,0.584,1.597,0.738
81,0.240,1.746,0.988,0.660,0.522,1.265,0.587
82,0.348,3.023,0.479,1.190,0.628,1.895,0.864
83,2.330,12.448,0.189,2.810,2.240,1.254,2.509
84,0.795,3.970,0.634,1.450,1.033,1.403,1.224
85,0.261,2.163,0.702,0.962,0.417,2.305,0.634
86,18.587,89.653,0.029,12.133,6.918,1.754,9.161
87,0.283,1.954,0.932,0.841,0.522,1.612,0.663
88,0.632,4.473,0.397,1.683,0.756,2.226,1.128
89,2.014,8.331,0.365,3.081,1.230,2.505,1.947
90,0.806,4.448,0.512,1.737,0.922,1.884,1.265
91,0.523,2.901,0.781,1.167,0.730,1.597,0.923
92,1.045,5.654,0.411,2.201,1.074,2.049,1.538
93,0.436,2.901,0.650,1.190,0.590,2.016,0.838
94,0.610,3.109,0.792,1.307,0.726,1.801,0.974
95,0.708,3.613,0.681,1.392,0.835,1.668,1.078
96,0.577,2.753,0.957,1.089,0.730,1.491,0.892
97,0.381,2.692,0.661,1.167,0.513,2.273,0.774
98,0.348,2.901,0.520,1.167,0.616,1.893,0.848
99,0.403,2.249,1.000,0.892,0.626,1.424,0.747
100,0.936,5.150,0.444,2.113,0.815,2.594,1.312
101,0.316,2.483,0.643,1.074,0.516,2.080,0.745
102,0.316,2.041,0.953,0.795,0.594,1.338,0.687
103,0.523,3.847,0.444,1.633,0.639,2.554,1.022
104,0.316,2.728,0.533,1.033,0.717,1.441,0.861
105,5.869,32.541,0.070,5.555,4.962,1.119,5.250
106,2.145,8.886,0.341,2.474,1.864,1.327,2.147
107,0.904,6.219,0.294,2.149,1.084,1.981,1.526
108,0.392,3.282,0.457,1.551,0.459,3.379,0.844
109,1.067,8.209,0.199,2.456,1.514,1.622,1.929
110,0.381,2.692,0.661,1.089,0.626,1.740,0.826
111,0.425,2.840,0.662,1.217,0.538,2.263,0.809
112,1.002,5.848,0.368,2.194,1.046,2.097,1.515
113,0.882,5.945,0.314,2.642,0.614,4.303,1.274
