 ,Length
1,0.3771
2,0.3148
3,0.713
4,0.4177
5,0.4059
6,0.7166
7,0.6018
8,0.522
9,0.4933
10,0.2088
11,0.1705
12,0.3572
13,0.1578
14,0.2488
15,0.4006
16,0.3703
17,0.4143
18,0.3842
19,0.5486
20,0.3266
21,0.2081
22,0.2548
23,0.2305
24,0.3466
25,0.4589
26,0.4861
27,0.3423
28,0.4399
29,0.433
30,0.2626
31,0.4665
32,0.2512
33,0.321
34,0.2702
35,0.3368
36,0.3192
37,0.2665
38,0.3169
39,0.4083
40,0.5418
41,0.2811
42,0.1963
43,0.3954
44,0.2525
45,0.2483
46,0.2491
47,0.553
48,0.3631
49,0.3771
50,0.4205
51,0.4414
52,0.199
53,0.1466
54,0.2038
55,0.3738
56,0.3959
57,0.3668
58,0.3173
59,0.4787
60,0.5797
61,0.4671
62,0.2944
63,0.389
64,0.5306
65,0.204
66,0.3992
67,0.3828
68,0.3102
69,0.2675
70,0.2977
71,0.1955
72,0.378
73,0.6673
74,0.3456
75,0.47
76,0.3469
77,0.352
78,0.3168
79,0.1225
80,0.1732
81,0.3581
82,0.0233
83,0.3015
84,0.2389
85,0.2614
86,0.4447
87,0.322
88,0.2773
89,0.3304
90,0.2701
91,0.4035
92,0.3044
93,0.2295
94,0.1107
95,0.1285
96,0.5029
97,0.3754
98,0.3825
99,0.4335
100,0.2404
101,0.588
102,0.2282
103,0.1686
104,0.3382
105,0.2948
106,0.1602
107,0.6247
108,0.4664
109,0.766
110,0.43
111,0.511
112,0.4246
113,0.3234
114,0.3039
115,0.2098
116,0.6821
117,0.6122
118,0.2974
119,0.3945
120,0.179
121,0.6191
122,0.5394
123,0.3924
124,0.5482
125,0.2607
126,0.1978
127,0.3592
128,0.3676
129,0.2349
130,0.4468
131,0.3648
132,0.3401
133,0.4406
134,0.5025
135,0.2616
136,0.3005
137,0.6138
138,0.5121
139,0.221
140,0.3583
141,0.3653
142,0.4862
143,0.3635
144,0.2741
145,0.3926
146,0.5185
147,0.3611
148,0.3397
149,0.3346
150,0.2882
151,0.1769
152,0.433
153,0.3005
154,0.5157
155,0.3771
156,0.6017
157,0.2343
