 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.690,5.289,0.310,2.123,0.653,3.250,1.178
2,0.067,0.962,0.911,0.443,0.277,1.601,0.350
3,1.552,10.463,0.178,2.313,1.756,1.317,2.016
4,0.086,1.198,0.755,0.527,0.277,1.904,0.382
5,0.216,2.120,0.603,0.928,0.356,2.608,0.575
6,0.206,1.769,0.827,0.723,0.415,1.740,0.548
7,6.408,33.216,0.073,6.469,4.434,1.459,5.356
8,0.120,1.394,0.774,0.527,0.402,1.310,0.460
9,0.086,1.100,0.895,0.499,0.277,1.803,0.372
10,0.206,1.907,0.712,0.749,0.448,1.671,0.579
11,0.158,1.492,0.892,0.591,0.415,1.424,0.495
12,0.105,1.198,0.922,0.504,0.277,1.820,0.373
13,3.870,19.090,0.133,5.144,2.233,2.303,3.390
14,0.129,1.256,1.000,0.504,0.346,1.456,0.418
15,0.307,2.396,0.671,0.984,0.546,1.802,0.733
16,0.110,1.141,1.000,0.443,0.346,1.281,0.392
17,0.469,3.962,0.376,1.518,0.634,2.396,0.981
18,0.077,1.239,0.628,0.571,0.208,2.749,0.344
19,0.115,1.158,1.000,0.464,0.346,1.342,0.401
20,1.058,5.036,0.524,1.645,1.107,1.486,1.350
21,0.498,2.649,0.892,0.991,0.783,1.266,0.881
22,0.225,2.062,0.665,0.810,0.484,1.672,0.626
23,0.268,2.217,0.685,0.910,0.480,1.898,0.661
24,0.642,4.654,0.372,1.820,0.830,2.192,1.230
25,0.345,2.454,0.720,0.928,0.636,1.460,0.769
26,0.129,1.239,1.000,0.499,0.346,1.442,0.416
27,0.479,4.124,0.354,1.400,0.893,1.568,1.118
28,2.064,10.723,0.226,3.243,1.898,1.709,2.481
29,0.110,1.654,0.506,0.723,0.232,3.117,0.409
30,0.172,1.573,0.876,0.595,0.484,1.229,0.537
31,0.268,2.160,0.722,0.900,0.470,1.915,0.650
32,0.201,1.590,1.000,0.591,0.484,1.221,0.535
33,0.460,3.318,0.525,1.306,0.685,1.907,0.946
34,0.704,5.110,0.339,1.555,1.038,1.498,1.271
35,0.714,5.387,0.309,1.805,1.053,1.713,1.379
36,1.451,6.747,0.401,2.649,1.295,2.046,1.852
37,0.350,2.893,0.525,1.263,0.415,3.041,0.724
38,0.943,5.738,0.360,2.276,0.947,2.405,1.468
39,0.287,2.201,0.746,0.845,0.575,1.469,0.697
40,0.144,1.353,0.986,0.558,0.391,1.425,0.467
41,0.120,1.256,0.954,0.499,0.391,1.275,0.442
42,0.599,3.220,0.726,1.287,0.710,1.814,0.956
43,0.129,1.434,0.790,0.619,0.328,1.886,0.451
44,2.672,12.127,0.228,3.142,1.920,1.637,2.456
45,0.536,2.845,0.833,1.152,0.685,1.681,0.888
46,0.168,1.492,0.947,0.591,0.415,1.424,0.495
47,0.283,2.690,0.491,1.083,0.516,2.100,0.748
48,0.345,2.477,0.706,1.054,0.503,2.094,0.728
49,0.728,3.578,0.715,1.481,0.806,1.837,1.093
50,0.488,2.909,0.725,1.152,0.716,1.609,0.908
51,0.517,3.652,0.487,1.427,0.659,2.164,0.970
52,2.371,13.872,0.155,3.282,1.768,1.856,2.409
53,0.905,5.859,0.331,2.369,0.762,3.110,1.343
54,0.857,5.468,0.360,2.291,0.788,2.907,1.344
55,0.599,4.303,0.406,1.360,0.875,1.555,1.090
56,0.680,3.497,0.699,1.360,0.796,1.709,1.040
57,0.101,1.100,1.000,0.489,0.343,1.429,0.409
58,1.054,6.194,0.345,1.832,1.129,1.623,1.438
59,0.575,3.244,0.686,1.276,0.623,2.049,0.892
60,0.254,2.103,0.721,0.867,0.429,2.020,0.610
61,2.375,14.173,0.149,3.551,1.720,2.065,2.471
62,0.517,4.003,0.406,1.183,0.881,1.343,1.021
63,3.448,17.862,0.136,4.868,2.113,2.304,3.208
64,0.891,4.988,0.450,1.889,0.828,2.282,1.251
65,0.661,3.007,0.918,1.146,0.830,1.379,0.975
66,0.445,3.024,0.612,1.038,0.830,1.250,0.928
67,0.632,4.287,0.432,1.491,1.001,1.489,1.221
68,0.445,2.690,0.774,0.998,0.762,1.310,0.872
69,1.049,4.270,0.723,1.633,1.001,1.631,1.279
70,0.781,4.418,0.503,1.622,0.881,1.841,1.195
71,0.278,2.062,0.821,0.856,0.484,1.767,0.644
72,8.812,32.548,0.105,6.531,4.727,1.382,5.556
73,0.867,5.745,0.330,2.216,0.869,2.550,1.387
