 ,Length
1,3.13
2,3.14
3,3.04
4,1.82
5,0.99
6,2.53
7,1.10
8,1.60
9,1.37
10,0.52
11,1.24
12,1.77
13,2.72
14,1.16
15,1.35
16,1.06
17,1.03
18,0.53
19,0.66
20,0.38
21,2.68
22,0.82
23,0.90
24,1.18
25,1.34
26,1.14
27,0.40
28,0.87
29,1.32
30,0.42
31,1.10
32,1.14
33,1.77
34,0.79
35,0.54
36,0.30
37,2.15
38,0.59
39,0.51
40,0.51
41,0.11
42,0.10
43,1.90
44,0.34
45,1.39
46,1.75
47,0.76
48,1.55
49,0.68
50,0.50
51,1.19
52,1.42
53,2.86
54,1.67
55,0.51
56,2.62
57,1.43
58,1.08
59,0.23
60,1.53
61,1.44
62,1.31
63,1.10
64,1.89
65,0.95
66,3.02
67,1.22
68,0.73
69,1.24
70,0.34
71,1.82
72,0.76
73,0.74
74,2.33
75,1.24
76,1.82
77,2.02
78,0.80
79,1.02
80,2.37
81,0.73
82,1.25
83,0.63
84,0.62
85,1.26
86,1.34
87,0.55
88,0.98
89,0.36
90,0.69
91,0.53
92,0.96
93,1.91
94,0.49
95,0.25
96,1.82
97,2.52
98,1.17
99,1.69
100,0.39
101,0.79
102,1.06
103,1.04
104,0.54
105,0.33
106,0.56
107,1.37
108,1.21
109,1.37
110,0.65
111,1.12
112,1.20
113,1.08
114,0.99
115,1.35
116,0.43
117,0.71
118,0.74
119,0.67
120,0.98
121,0.63
122,0.80
123,0.88
124,0.37
125,0.39
126,0.62
127,0.80
128,0.68
129,0.35
130,0.39
131,1.23
132,0.53
133,0.23
134,0.61
135,0.31
136,0.75
137,0.74
138,0.39
139,2.57
140,2.09
141,1.72
142,1.02
143,1.57
144,1.35
145,3.00
146,0.33
147,2.31
148,1.01
149,1.74
150,1.41
151,1.21
152,0.83
153,1.02
154,0.17
155,1.05
156,0.09
157,0.26
158,1.09
159,0.74
160,0.74
161,0.89
162,1.26
163,0.79
164,0.53
165,1.05
166,1.57
167,1.40
168,0.59
169,1.27
170,0.29
171,1.36
172,1.30
173,0.87
174,0.14
175,0.46
176,2.09
177,1.36
178,1.17
179,0.39
180,0.22
181,1.12
182,0.41
183,0.93
184,2.29
185,0.77
186,1.66
187,2.06
188,0.59
189,1.14
190,0.91
191,1.23
192,1.68
193,0.64
194,0.87
195,0.88
196,0.65
197,0.69
198,0.80
199,0.65
200,1.32
201,1.87
202,1.13
203,0.48
204,0.59
205,0.77
206,0.61
207,0.60
208,0.72
209,1.33
210,1.14
211,0.58
212,1.12
213,0.62
214,1.05
215,0.66
216,0.86
217,1.24
218,0.67
219,1.79
220,0.84
