 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.745,5.593,0.299,1.912,1.026,1.863,1.401
2,1.706,8.914,0.270,2.588,1.521,1.702,1.984
3,0.454,2.630,0.825,0.963,0.760,1.266,0.856
4,0.110,1.197,0.964,0.498,0.346,1.442,0.415
5,0.091,1.140,0.879,0.443,0.346,1.281,0.391
6,0.086,1.001,1.000,0.403,0.276,1.458,0.334
7,2.943,17.329,0.123,4.372,2.658,1.645,3.409
8,1.147,7.252,0.274,2.659,1.139,2.335,1.740
9,4.879,20.188,0.150,5.122,3.055,1.677,3.955
10,1.032,6.456,0.311,2.498,0.723,3.457,1.343
11,0.096,1.140,0.925,0.464,0.276,1.677,0.358
12,0.139,1.571,0.705,0.722,0.276,2.610,0.447
13,0.053,0.961,0.715,0.420,0.207,2.028,0.295
14,0.076,0.961,1.000,0.403,0.276,1.458,0.334
15,0.334,3.021,0.461,1.328,0.438,3.033,0.763
16,0.540,4.005,0.423,1.377,0.760,1.811,1.023
17,2.790,12.919,0.210,4.162,2.473,1.683,3.208
18,0.124,1.392,0.805,0.637,0.342,1.863,0.467
19,0.311,2.124,0.865,0.806,0.553,1.458,0.668
20,0.067,0.961,0.911,0.437,0.207,2.108,0.301
21,4.176,20.168,0.129,4.153,2.961,1.403,3.507
22,0.081,1.237,0.667,0.570,0.207,2.749,0.344
23,0.220,1.767,0.885,0.722,0.415,1.740,0.547
24,0.430,2.808,0.685,1.225,0.553,2.215,0.823
25,0.172,1.490,0.974,0.618,0.415,1.491,0.506
26,0.430,3.395,0.469,1.546,0.464,3.333,0.847
27,0.454,3.280,0.530,1.372,0.592,2.319,0.901
28,0.124,1.352,0.854,0.557,0.371,1.502,0.455
29,0.549,3.061,0.737,1.286,0.684,1.879,0.938
30,0.602,3.435,0.641,1.286,0.820,1.567,1.027
31,0.334,3.085,0.442,1.312,0.425,3.087,0.746
32,0.425,2.515,0.845,0.927,0.622,1.491,0.760
33,0.296,1.922,1.000,0.681,0.622,1.094,0.651
34,0.115,1.156,1.000,0.464,0.346,1.342,0.400
35,0.363,2.491,0.735,0.940,0.678,1.387,0.798
36,0.898,3.874,0.752,1.608,0.795,2.021,1.131
37,0.779,4.046,0.598,1.772,0.708,2.503,1.120
38,0.225,2.181,0.593,0.909,0.346,2.631,0.561
39,0.143,1.335,1.000,0.540,0.415,1.302,0.473
40,5.113,23.974,0.112,5.931,3.200,1.853,4.356
41,3.359,15.475,0.176,3.498,2.422,1.444,2.911
42,0.965,5.397,0.416,1.492,1.240,1.203,1.360
43,0.148,1.352,1.000,0.526,0.415,1.269,0.467
44,1.357,7.609,0.295,2.260,1.636,1.381,1.923
45,0.411,2.906,0.611,1.271,0.553,2.297,0.839
46,0.172,1.628,0.815,0.722,0.346,2.088,0.499
47,0.679,4.706,0.385,1.400,1.056,1.325,1.216
48,0.898,4.356,0.595,1.522,0.958,1.589,1.208
49,1.099,6.153,0.365,2.512,0.962,2.612,1.554
50,1.749,8.735,0.288,2.339,1.991,1.175,2.158
51,0.320,2.181,0.845,0.922,0.415,2.224,0.618
52,0.440,3.378,0.484,1.286,0.670,1.920,0.928
53,0.373,2.239,0.935,0.866,0.622,1.392,0.734
54,0.349,2.734,0.586,1.183,0.392,3.018,0.681
55,1.104,5.552,0.450,2.354,0.780,3.017,1.355
56,0.129,1.237,1.000,0.498,0.346,1.442,0.415
57,0.497,3.176,0.619,1.382,0.564,2.450,0.883
58,0.549,3.378,0.605,1.382,0.776,1.781,1.036
59,1.701,9.531,0.235,2.641,1.857,1.422,2.215
60,0.855,5.202,0.397,2.024,0.893,2.265,1.345
61,0.244,2.100,0.694,0.899,0.432,2.081,0.623
62,0.306,2.003,0.958,0.748,0.618,1.209,0.680
63,0.110,1.392,0.712,0.591,0.306,1.930,0.425
64,0.712,4.420,0.458,1.814,0.823,2.205,1.222
65,0.416,3.297,0.481,1.237,0.592,2.090,0.855
66,2.389,10.492,0.273,3.144,1.678,1.874,2.297
67,0.397,2.475,0.814,0.885,0.760,1.164,0.820
68,0.468,2.744,0.781,1.117,0.643,1.737,0.847
69,0.549,3.142,0.699,1.246,0.678,1.839,0.919
70,0.263,1.807,1.000,0.681,0.484,1.407,0.574
71,0.320,2.141,0.878,0.835,0.553,1.510,0.680
72,0.115,1.197,1.000,0.503,0.276,1.820,0.373
73,0.182,1.490,1.000,0.591,0.415,1.424,0.495
74,0.134,1.295,1.000,0.526,0.346,1.523,0.427
75,0.215,1.669,0.970,0.681,0.415,1.641,0.531
76,2.442,12.728,0.189,3.886,1.659,2.343,2.539
77,0.325,2.158,0.877,0.866,0.587,1.477,0.713
78,1.438,7.987,0.283,2.257,1.685,1.340,1.950
79,1.801,9.045,0.277,3.232,1.419,2.278,2.141
80,0.516,3.216,0.627,1.423,0.518,2.750,0.858
81,1.586,8.628,0.268,2.973,1.592,1.867,2.176
82,0.105,1.116,1.000,0.464,0.342,1.355,0.398
83,0.167,1.473,0.968,0.637,0.415,1.537,0.514
84,0.153,1.514,0.838,0.656,0.276,2.372,0.426
85,0.263,1.807,1.000,0.652,0.553,1.179,0.601
86,0.487,3.223,0.590,1.400,0.622,2.250,0.933
87,0.263,1.824,0.993,0.656,0.553,1.186,0.602
88,0.664,3.924,0.542,1.603,0.704,2.278,1.062
89,0.182,1.450,1.000,0.557,0.484,1.152,0.519
90,1.543,10.394,0.180,2.478,1.659,1.494,2.028
91,7.440,25.781,0.141,6.954,3.933,1.768,5.230
92,0.143,1.295,1.000,0.498,0.415,1.202,0.455
93,0.301,2.296,0.718,0.841,0.622,1.352,0.723
94,1.013,4.639,0.591,1.639,1.037,1.580,1.304
95,0.535,2.744,0.893,0.990,0.829,1.193,0.906
96,0.569,3.597,0.552,1.510,0.580,2.605,0.935
97,2.365,13.472,0.164,5.040,1.890,2.667,3.086
98,0.516,3.142,0.657,1.377,0.616,2.237,0.921
99,0.726,3.941,0.588,1.423,0.883,1.613,1.121
100,0.526,2.923,0.773,1.006,0.829,1.213,0.914
101,0.401,2.475,0.824,1.073,0.484,2.218,0.721
102,0.339,2.239,0.851,0.927,0.520,1.784,0.694
103,0.612,4.305,0.415,1.567,0.881,1.779,1.175
104,1.261,6.878,0.335,2.400,1.175,2.042,1.679
105,0.334,2.117,0.938,0.885,0.538,1.646,0.690
106,6.546,35.962,0.064,6.091,3.305,1.843,4.487
107,0.124,1.237,1.000,0.540,0.346,1.562,0.432
108,0.803,4.592,0.478,1.614,1.029,1.568,1.289
109,0.392,2.842,0.610,1.246,0.538,2.318,0.819
110,0.444,2.687,0.774,1.055,0.637,1.655,0.820
111,0.808,4.551,0.490,2.041,0.636,3.210,1.139
112,3.565,18.967,0.125,5.818,2.366,2.459,3.710
113,2.265,8.533,0.391,3.713,1.000,3.712,1.927
114,3.096,15.468,0.163,4.544,2.428,1.871,3.322
115,1.500,8.459,0.264,3.172,1.397,2.271,2.105
116,0.196,1.726,0.826,0.748,0.402,1.861,0.548
117,0.344,2.906,0.512,1.225,0.503,2.436,0.785
118,0.502,3.166,0.629,1.410,0.484,2.914,0.826
119,0.822,4.241,0.574,1.814,0.674,2.691,1.106
120,0.941,4.511,0.581,1.977,0.747,2.646,1.215
121,1.687,8.961,0.264,2.907,1.415,2.055,2.028
122,0.148,1.352,1.000,0.526,0.415,1.269,0.467
123,0.956,4.983,0.484,1.510,1.306,1.156,1.404
124,0.358,2.198,0.932,0.844,0.622,1.356,0.725
125,3.493,16.004,0.171,4.750,2.110,2.251,3.166
126,0.812,3.810,0.703,1.535,0.822,1.866,1.124
127,0.588,4.541,0.358,1.766,0.721,2.451,1.128
128,0.277,2.279,0.670,0.990,0.415,2.386,0.641
129,0.139,1.295,1.000,0.526,0.346,1.523,0.427
130,0.153,1.433,0.936,0.591,0.346,1.709,0.452
131,0.425,3.752,0.380,1.335,0.681,1.961,0.953
132,0.420,2.670,0.741,1.117,0.622,1.795,0.834
133,0.272,1.905,0.943,0.748,0.484,1.545,0.601
134,1.166,5.421,0.499,2.147,0.927,2.315,1.411
135,0.387,2.532,0.759,1.053,0.520,2.026,0.740
136,0.569,3.183,0.705,1.271,0.673,1.888,0.925
137,0.186,1.531,1.000,0.637,0.440,1.449,0.529
138,0.153,1.450,0.914,0.570,0.415,1.374,0.486
139,0.100,1.116,1.000,0.464,0.340,1.364,0.397
140,0.970,5.812,0.361,2.264,1.027,2.204,1.525
141,0.659,3.378,0.726,1.453,0.680,2.137,0.994
142,0.722,4.217,0.510,1.425,0.907,1.571,1.137
143,0.205,2.832,0.322,1.252,0.276,4.528,0.588
144,0.506,2.808,0.807,1.082,0.706,1.533,0.874
145,1.462,7.862,0.297,2.613,1.529,1.709,1.999
146,1.223,4.851,0.653,1.825,1.175,1.553,1.464
147,1.218,7.579,0.267,2.298,1.186,1.938,1.651
148,0.803,4.713,0.454,1.922,0.811,2.368,1.249
149,1.085,5.478,0.454,1.965,1.065,1.844,1.447
150,1.195,5.681,0.465,2.350,0.963,2.441,1.504
151,0.803,3.948,0.647,1.639,0.833,1.967,1.168
152,0.621,3.540,0.623,1.546,0.553,2.795,0.925
153,0.951,6.186,0.312,2.435,1.003,2.428,1.563
154,2.093,10.603,0.234,3.528,1.404,2.512,2.226
155,0.186,1.588,0.929,0.637,0.415,1.537,0.514
156,1.491,7.936,0.297,2.531,1.346,1.880,1.846
157,0.239,1.824,0.903,0.712,0.503,1.416,0.598
158,0.124,1.376,0.825,0.591,0.276,2.136,0.404
159,0.984,4.453,0.624,1.795,0.962,1.866,1.314
160,0.139,1.416,0.868,0.618,0.276,2.236,0.413
161,0.712,3.607,0.688,1.342,0.930,1.443,1.117
162,1.371,7.636,0.296,1.926,1.356,1.420,1.616
163,0.334,2.117,0.938,0.835,0.622,1.343,0.721
164,0.330,2.019,1.000,0.788,0.553,1.425,0.660
165,0.119,1.237,0.981,0.526,0.276,1.904,0.382
166,0.373,2.980,0.527,1.209,0.554,2.181,0.819
167,0.884,4.046,0.679,1.683,0.840,2.003,1.189
168,0.105,1.116,1.000,0.464,0.342,1.355,0.398
169,0.110,1.156,1.000,0.464,0.346,1.342,0.400
170,1.706,9.076,0.260,2.888,1.888,1.530,2.335
171,0.139,2.036,0.420,0.901,0.276,3.260,0.499
172,0.172,1.612,0.832,0.705,0.276,2.550,0.441
173,0.225,2.100,0.640,0.809,0.484,1.672,0.626
174,0.100,1.156,0.943,0.437,0.346,1.265,0.389
175,1.376,6.723,0.383,2.116,1.406,1.505,1.725
176,0.669,5.078,0.326,2.332,0.483,4.830,1.061
177,1.085,7.538,0.240,2.110,1.553,1.359,1.811
178,0.354,2.360,0.798,1.006,0.415,2.427,0.646
179,0.148,1.335,1.000,0.526,0.346,1.523,0.427
180,1.820,10.094,0.225,2.298,1.762,1.304,2.012
181,1.491,8.280,0.273,2.376,1.537,1.545,1.911
182,0.430,2.727,0.726,1.134,0.633,1.792,0.847
183,0.100,1.197,0.880,0.526,0.276,1.904,0.382
184,0.645,3.452,0.680,1.453,0.676,2.151,0.991
185,0.119,1.237,0.981,0.526,0.276,1.904,0.382
186,0.239,1.726,1.000,0.656,0.484,1.355,0.563
187,0.640,3.688,0.592,1.342,0.876,1.533,1.084
188,0.535,2.906,0.796,1.159,0.691,1.676,0.895
189,0.702,4.379,0.460,1.707,0.848,2.014,1.203
190,0.406,2.670,0.716,1.144,0.608,1.881,0.834
191,3.072,15.677,0.157,4.880,1.836,2.659,2.993
192,0.315,2.198,0.820,0.927,0.513,1.806,0.690
193,0.291,1.962,0.951,0.788,0.484,1.629,0.618
194,0.162,1.392,1.000,0.557,0.415,1.344,0.481
195,0.105,1.335,0.741,0.591,0.276,2.136,0.404
196,0.134,1.335,0.943,0.570,0.276,2.062,0.397
197,0.143,1.352,0.986,0.526,0.415,1.269,0.467
198,0.358,3.395,0.391,1.207,0.645,1.873,0.882
199,0.712,4.990,0.359,1.489,0.996,1.495,1.218
200,0.282,1.905,0.976,0.748,0.553,1.352,0.643
201,0.229,1.709,0.986,0.681,0.415,1.641,0.531
202,3.966,21.675,0.106,6.426,2.452,2.621,3.969
203,0.177,1.490,1.000,0.591,0.415,1.424,0.495
204,0.578,3.102,0.755,1.246,0.691,1.802,0.928
205,0.693,3.843,0.589,1.639,0.695,2.357,1.067
206,0.162,1.588,0.810,0.637,0.415,1.537,0.514
207,0.167,1.450,1.000,0.570,0.415,1.374,0.486
208,3.932,16.722,0.177,5.802,1.661,3.494,3.104
209,0.454,2.508,0.907,0.927,0.729,1.273,0.822
210,0.669,4.541,0.408,2.013,0.550,3.663,1.052
211,1.099,6.048,0.378,2.289,1.056,2.169,1.555
212,0.397,2.825,0.624,1.207,0.509,2.371,0.784
213,3.789,21.102,0.107,5.138,1.671,3.074,2.930
214,0.645,4.282,0.442,1.410,0.899,1.569,1.126
215,0.201,1.571,1.000,0.618,0.415,1.491,0.506
