 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,1.549,8.422,0.274,3.391,0.707,4.794,1.549
2,0.374,3.190,0.462,1.213,0.526,2.306,0.799
3,0.148,1.698,0.643,0.661,0.352,1.880,0.482
4,0.137,1.330,0.975,0.489,0.396,1.236,0.440
5,0.735,4.337,0.491,1.547,0.828,1.868,1.132
6,0.457,2.614,0.840,1.029,0.585,1.759,0.776
7,0.101,1.639,0.472,0.756,0.180,4.205,0.369
8,0.138,1.347,0.958,0.483,0.396,1.220,0.437
9,0.185,1.821,0.701,0.759,0.396,1.918,0.548
10,0.146,1.669,0.660,0.651,0.324,2.012,0.459
11,0.100,1.389,0.648,0.563,0.338,1.664,0.436
12,0.189,2.130,0.523,0.875,0.360,2.433,0.561
13,0.470,3.714,0.428,1.616,0.475,3.399,0.876
14,0.016,0.572,0.597,0.262,0.108,2.427,0.168
15,0.173,1.737,0.722,0.692,0.424,1.631,0.542
16,0.325,2.249,0.807,0.839,0.599,1.400,0.709
17,4.063,19.220,0.138,5.600,2.198,2.547,3.508
18,0.062,0.919,0.924,0.341,0.252,1.355,0.293
19,0.342,2.693,0.592,1.172,0.432,2.714,0.711
20,1.695,8.082,0.326,2.938,1.179,2.492,1.862
21,1.870,10.340,0.220,3.123,1.937,1.612,2.459
22,0.496,2.770,0.812,1.023,0.631,1.622,0.803
23,0.080,1.135,0.782,0.439,0.288,1.526,0.355
24,0.097,1.216,0.825,0.489,0.288,1.700,0.375
25,0.317,2.626,0.578,1.058,0.534,1.981,0.752
26,0.087,1.135,0.845,0.445,0.252,1.767,0.335
27,0.164,2.295,0.392,1.053,0.241,4.362,0.504
28,0.128,1.318,0.927,0.469,0.396,1.185,0.431
29,2.008,10.616,0.224,3.487,1.515,2.301,2.299
30,1.245,5.913,0.447,2.055,1.194,1.722,1.566
31,0.547,3.270,0.643,1.276,0.692,1.844,0.939
32,0.637,3.749,0.569,1.423,0.663,2.146,0.971
33,0.246,1.881,0.873,0.698,0.468,1.494,0.571
34,0.681,3.825,0.585,1.331,0.877,1.518,1.080
35,0.938,5.519,0.387,2.400,0.649,3.697,1.248
36,13.617,42.739,0.094,9.734,4.361,2.232,6.515
37,0.322,2.144,0.881,0.804,0.576,1.398,0.680
38,0.110,1.228,0.916,0.461,0.360,1.281,0.407
39,0.638,3.914,0.523,1.537,0.660,2.329,1.007
40,0.225,1.758,0.916,0.683,0.432,1.581,0.543
41,0.185,1.563,0.952,0.540,0.468,1.154,0.502
42,1.183,6.583,0.343,2.565,1.097,2.339,1.677
43,1.131,7.627,0.244,2.950,0.996,2.961,1.714
44,6.719,31.636,0.084,7.617,3.862,1.972,5.424
45,1.144,5.372,0.498,2.146,0.817,2.626,1.324
46,0.116,1.339,0.817,0.535,0.356,1.502,0.436
47,1.484,8.093,0.285,2.584,1.571,1.645,2.015
48,0.122,1.360,0.827,0.515,0.324,1.591,0.408
49,1.079,5.913,0.388,1.697,1.303,1.302,1.487
50,0.373,2.495,0.752,0.958,0.651,1.472,0.789
51,0.819,5.067,0.401,1.838,0.854,2.153,1.253
52,0.171,1.521,0.928,0.540,0.449,1.202,0.492
53,0.243,1.800,0.943,0.648,0.468,1.387,0.551
54,0.072,1.063,0.806,0.410,0.322,1.275,0.363
55,0.851,5.684,0.331,2.446,0.810,3.018,1.408
56,1.973,9.688,0.264,2.834,1.664,1.703,2.172
57,1.253,5.993,0.438,2.076,1.005,2.065,1.445
58,0.084,1.042,0.973,0.370,0.324,1.144,0.346
59,0.358,2.546,0.695,1.030,0.540,1.909,0.746
60,0.443,2.482,0.902,0.885,0.728,1.215,0.803
61,0.494,2.732,0.832,1.013,0.647,1.564,0.810
62,1.764,9.851,0.228,2.749,1.862,1.477,2.262
63,0.323,2.262,0.795,0.899,0.468,1.923,0.648
64,0.100,1.225,0.835,0.489,0.303,1.613,0.385
65,0.564,3.647,0.533,1.370,0.740,1.851,1.007
66,0.061,0.877,0.993,0.322,0.280,1.150,0.300
