 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.946,6.525,0.279,1.752,1.250,1.402,1.480
2,0.385,3.753,0.344,1.537,0.451,3.409,0.832
3,1.592,9.813,0.208,3.282,1.227,2.675,2.007
4,0.062,0.864,1.000,0.336,0.250,1.344,0.290
5,0.149,2.634,0.270,1.173,0.292,4.023,0.585
6,0.917,7.415,0.209,2.045,1.241,1.649,1.593
7,0.120,1.325,0.857,0.542,0.327,1.657,0.421
8,0.547,3.924,0.446,1.269,0.792,1.603,1.002
9,4.097,26.986,0.071,5.370,2.975,1.805,3.997
10,0.052,0.898,0.811,0.393,0.231,1.701,0.301
11,0.464,3.926,0.378,1.480,0.626,2.362,0.963
12,0.745,4.392,0.485,1.723,0.757,2.276,1.142
13,0.095,1.232,0.791,0.486,0.329,1.475,0.400
14,0.158,1.516,0.864,0.607,0.333,1.820,0.450
15,0.908,4.446,0.577,1.529,1.055,1.448,1.270
16,0.283,2.061,0.837,0.805,0.500,1.609,0.634
17,0.460,4.392,0.300,1.566,0.708,2.210,1.053
18,6.491,42.228,0.046,8.201,3.716,2.207,5.520
19,0.135,1.325,0.969,0.466,0.417,1.118,0.441
20,0.073,0.957,1.000,0.373,0.292,1.278,0.330
21,0.172,1.717,0.732,0.766,0.333,2.298,0.505
22,0.375,2.351,0.853,0.899,0.648,1.388,0.764
23,0.227,1.880,0.809,0.751,0.467,1.610,0.592
24,0.981,5.475,0.411,1.803,1.029,1.752,1.362
25,0.328,2.664,0.581,1.107,0.500,2.214,0.744
26,0.533,3.174,0.665,1.344,0.547,2.458,0.857
27,0.097,1.148,0.927,0.417,0.333,1.250,0.373
28,0.054,0.815,1.000,0.317,0.250,1.269,0.282
29,0.045,0.721,1.000,0.280,0.208,1.342,0.241
30,1.634,12.295,0.136,3.005,2.043,1.471,2.478
31,0.351,3.695,0.323,1.302,0.593,2.197,0.879
32,0.368,3.410,0.398,1.345,0.596,2.257,0.895
33,0.280,2.115,0.785,0.833,0.456,1.826,0.617
34,1.696,11.835,0.152,2.963,1.570,1.887,2.157
35,0.927,6.889,0.245,1.718,1.417,1.213,1.560
36,2.010,13.898,0.131,5.826,0.813,7.164,2.177
37,0.217,2.317,0.508,0.932,0.447,2.083,0.645
38,0.330,2.179,0.873,0.796,0.596,1.335,0.689
39,0.135,1.301,1.000,0.466,0.417,1.118,0.441
40,0.149,1.502,0.832,0.635,0.370,1.716,0.484
41,0.738,4.975,0.375,2.161,0.606,3.565,1.144
42,0.069,0.923,1.000,0.336,0.292,1.152,0.313
43,0.611,6.052,0.210,1.623,1.283,1.265,1.443
44,0.146,2.138,0.401,0.966,0.195,4.958,0.434
45,0.087,1.075,0.944,0.395,0.333,1.186,0.363
46,0.750,4.520,0.461,1.568,0.948,1.655,1.219
47,0.394,2.914,0.583,1.042,0.700,1.489,0.854
48,0.462,2.861,0.709,1.025,0.735,1.394,0.868
49,0.700,3.861,0.590,1.357,0.862,1.574,1.081
50,0.767,4.073,0.581,1.487,0.938,1.586,1.181
51,0.455,3.150,0.576,1.331,0.540,2.466,0.848
52,0.111,1.183,0.998,0.429,0.375,1.144,0.401
53,0.234,2.439,0.495,1.029,0.399,2.576,0.641
54,0.613,4.548,0.372,1.860,0.554,3.356,1.015
55,0.122,1.301,0.903,0.515,0.333,1.546,0.414
56,0.153,1.433,0.935,0.559,0.375,1.491,0.458
57,2.464,21.735,0.066,7.604,1.283,5.929,3.123
58,0.530,3.607,0.511,1.458,0.581,2.509,0.920
59,1.948,12.963,0.146,2.961,1.919,1.543,2.384
60,0.472,3.656,0.444,1.473,0.591,2.493,0.933
61,1.052,7.580,0.230,1.912,1.238,1.545,1.538
62,0.865,6.993,0.222,2.572,0.997,2.580,1.601
63,1.988,12.575,0.158,3.018,1.828,1.652,2.349
64,0.069,0.923,1.000,0.336,0.292,1.152,0.313
65,2.521,17.681,0.101,4.682,2.573,1.820,3.471
66,0.809,5.064,0.396,1.794,0.868,2.065,1.248
67,0.260,3.195,0.321,0.972,0.567,1.715,0.742
68,0.122,1.516,0.664,0.659,0.253,2.608,0.408
69,0.038,0.864,0.643,0.384,0.165,2.328,0.252
70,0.198,1.786,0.779,0.615,0.536,1.147,0.574
71,0.061,0.923,0.897,0.410,0.208,1.970,0.292
72,1.642,8.435,0.290,2.684,1.348,1.991,1.902
73,0.137,1.408,0.869,0.597,0.292,2.045,0.417
74,0.302,3.268,0.355,1.251,0.526,2.377,0.811
75,0.083,1.051,0.949,0.395,0.316,1.250,0.354
76,0.078,1.099,0.812,0.502,0.236,2.129,0.344
77,0.479,2.768,0.786,1.068,0.646,1.654,0.830
78,0.066,0.992,0.843,0.417,0.236,1.768,0.313
79,0.073,0.992,0.932,0.395,0.283,1.397,0.334
80,0.097,1.565,0.499,0.678,0.208,3.256,0.376
81,0.429,2.998,0.600,1.186,0.556,2.134,0.812
82,0.373,3.735,0.336,1.676,0.425,3.948,0.843
83,0.068,1.325,0.485,0.522,0.277,1.882,0.381
84,0.271,2.341,0.621,0.983,0.471,2.086,0.681
85,0.049,0.839,0.867,0.344,0.208,1.649,0.268
86,0.340,3.077,0.452,1.082,0.625,1.731,0.822
87,0.184,2.258,0.454,0.728,0.458,1.588,0.578
88,0.609,4.623,0.358,1.721,0.935,1.840,1.269
89,0.045,0.721,1.000,0.280,0.208,1.342,0.241
90,0.170,1.536,0.906,0.567,0.458,1.236,0.510
91,0.188,1.609,0.910,0.607,0.417,1.456,0.503
