Distance (µm),Pb Mα1 ,O Kα1 ,"Fe Lα1, 2 ","Ni Lα1, 2 "
10.81372648,390,60,326,42
10.85993898,391,63,334,60
10.90615149,387,63,345,42
10.952364,347,54,328,52
10.9985765,343,70,353,56
11.04478901,289,64,354,55
11.09100152,296,65,385,61
11.13721402,239,72,398,56
11.18342653,231,60,410,61
11.22963904,238,66,407,76
11.27585154,238,62,358,77
11.32206405,216,65,418,79
11.36827655,240,50,406,66
11.41448906,244,56,457,79
11.46070157,222,46,413,77
11.50691407,239,50,459,82
11.55312658,196,49,440,95
11.59933909,196,48,447,100
11.64555159,180,43,390,110
11.6917641,207,46,450,121
11.7379766,171,45,419,150
11.78418911,176,42,416,158
11.83040162,164,54,456,174
11.87661412,172,52,394,212
11.92282663,186,49,432,197
11.96903914,147,39,447,182
12.01525164,131,40,467,228
12.06146415,109,33,420,222
12.10767666,131,40,419,260
12.15388916,98,34,426,233
12.20010167,87,36,415,279
12.24631417,75,30,458,273
12.29252668,48,46,413,297
12.33873919,43,25,439,316
12.38495169,33,46,427,261
12.4311642,49,38,465,319
12.47737671,29,36,408,281
12.52358921,32,42,458,294
12.56980172,28,56,421,286
12.61601422,31,40,433,287
12.66222673,36,38,459,287
12.70843924,32,43,438,287
12.75465174,30,43,452,290
12.80086425,30,38,385,259
12.84707676,27,35,414,263
12.89328926,38,35,410,282
12.93950177,33,34,435,280
12.98571428,28,42,469,273
13.03192678,33,47,456,292
13.07813929,36,38,402,273
13.12435179,32,45,432,298
13.1705643,35,42,442,320
13.21677681,26,29,416,304
13.26298931,27,40,453,262
13.30920182,30,27,412,266
13.35541433,31,37,420,289
13.40162683,31,33,462,341
13.44783934,23,40,434,295
13.49405184,29,27,491,301
13.54026435,33,31,429,297
13.58647686,24,44,423,302
13.63268936,34,36,451,261
13.67890187,41,32,473,279
13.72511438,28,36,427,287
13.77132688,38,38,426,275
13.81753939,31,39,438,279
13.8637519,20,54,459,292
13.9099644,21,43,436,293
13.95617691,30,38,412,293
14.00238941,23,37,401,289
14.04860192,30,49,437,260
14.09481443,15,43,427,259
14.14102693,23,44,382,308
14.18723944,28,40,446,273
14.23345195,33,48,472,282
14.27966445,36,43,431,263
14.32587696,26,41,413,282
14.37208946,32,35,410,278
14.41830197,36,33,417,269
14.46451448,29,18,430,299
14.51072698,32,30,420,287
14.55693949,30,41,420,285
14.603152,38,32,444,251
14.6493645,27,48,460,307
14.69557701,26,41,424,269
14.74178952,29,42,428,285
14.78800202,37,38,454,284
14.83421453,33,32,461,273
14.88042703,24,39,462,307
14.92663954,29,41,404,309
14.97285205,34,40,426,301
15.01906455,29,45,426,248
15.06527706,37,39,441,292
15.11148957,36,31,448,278
15.15770207,36,38,414,278
15.20391458,32,41,475,272
15.25012708,22,39,420,275
15.29633959,39,38,449,269
15.3425521,29,47,458,276
15.3887646,37,39,417,287
15.43497711,27,24,449,302
15.48118962,44,40,421,281
15.52740212,32,41,443,268
15.57361463,25,43,425,256
15.61982714,32,49,434,299
15.66603964,35,25,434,286
15.71225215,27,41,464,284
15.75846465,25,32,450,287
15.80467716,27,47,438,319
15.85088967,37,32,455,273
15.89710217,46,43,435,292
15.94331468,27,30,438,291
15.98952719,22,39,429,271
16.03573969,38,43,419,291
16.0819522,25,30,433,277
16.1281647,37,36,450,252
16.17437721,19,42,423,250
16.22058972,32,31,451,279
16.26680222,35,39,449,293
16.31301473,29,35,416,266
16.35922724,28,44,417,275
16.40543974,36,46,445,294
16.45165225,31,28,416,290
16.49786476,37,44,413,279
16.54407726,29,38,463,280
16.59028977,31,35,432,295
16.63650227,22,35,438,274
16.68271478,26,32,402,254
16.72892729,24,40,397,286
16.77513979,33,42,395,267
16.8213523,34,29,441,296
16.86756481,40,37,419,248
16.91377731,36,40,412,295
16.95998982,39,40,432,281
17.00620233,26,34,387,293
17.05241483,21,28,428,279
17.09862734,25,45,440,280
17.14483984,29,53,446,286
17.19105235,26,30,414,237
17.23726486,25,32,451,269
17.28347736,29,38,424,276
17.32968987,29,34,419,280
17.37590238,31,32,427,277
17.42211488,39,43,422,282
17.46832739,33,40,461,259
17.51453989,26,45,444,289
17.5607524,31,48,468,258
17.60696491,30,49,415,259
17.65317741,35,45,424,295
17.69938992,22,28,423,310
17.74560243,34,39,396,308
17.79181493,30,43,420,280
17.83802744,27,30,470,271
17.88423995,35,36,485,283
17.93045245,30,34,406,288
17.97666496,33,39,404,279
18.02287746,23,42,426,249
18.06908997,42,29,430,252
18.11530248,33,46,428,282
18.16151498,28,38,408,269
18.20772749,25,32,450,286
18.25394,27,38,427,288
18.3001525,25,33,451,277
18.34636501,31,41,427,280
18.39257751,32,31,422,314
18.43879002,44,29,419,272
18.48500253,28,41,453,306
18.53121503,34,36,444,280
18.57742754,34,52,421,288
18.62364005,26,44,429,263
18.66985255,27,43,436,277
18.71606506,30,44,423,279
18.76227757,37,39,427,256
18.80849007,30,42,455,292
18.85470258,35,43,399,246
18.90091508,34,41,416,279
18.94712759,24,29,410,265
18.9933401,30,37,419,284
19.0395526,31,42,474,279
19.08576511,33,42,430,307
19.13197762,25,44,421,273
19.17819012,32,44,408,253
19.22440263,26,46,445,294
19.27061513,39,39,393,286
19.31682764,33,24,418,267
19.36304015,26,51,405,283
19.40925265,27,40,424,287
19.45546516,28,33,405,246
19.50167767,32,51,429,293
19.54789017,29,37,419,249
19.59410268,30,38,423,267
19.64031519,30,41,444,315
19.68652769,25,35,421,285
19.7327402,28,31,433,271
19.7789527,24,35,418,252
19.82516521,38,39,442,289
19.87137772,31,38,436,265
19.91759022,37,37,399,219
19.96380273,28,33,474,264
20.01001524,24,19,425,259
20.05622774,42,44,443,250
20.10244025,30,46,433,277
20.14865275,30,34,452,309
20.19486526,32,45,406,265
20.24107777,33,29,418,273
20.28729027,26,35,424,272
20.33350278,33,50,399,275
20.37971529,23,42,409,269
20.42592779,22,46,414,276
20.4721403,20,39,393,291
20.51835281,26,41,392,280
20.56456531,29,43,430,286
20.61077782,25,26,439,282
20.65699032,29,43,439,265
20.70320283,26,32,404,267
20.74941534,36,37,432,284
20.79562784,25,46,418,262
20.84184035,26,44,389,264
20.88805286,29,34,420,280
20.93426536,27,27,445,261
20.98047787,27,28,416,237
21.02669037,31,36,423,280
21.07290288,28,33,414,245
21.11911539,31,34,422,281
21.16532789,29,41,402,263
21.2115404,29,39,411,252
21.25775291,30,28,412,231
21.30396541,33,36,442,223
21.35017792,31,44,426,283
21.39639043,33,35,390,269
21.44260293,35,47,400,249
21.48881544,27,31,425,283
21.53502794,29,34,372,250
21.58124045,23,33,402,296
21.62745296,34,39,427,217
21.67366546,30,25,403,284
21.71987797,23,50,393,225
21.76609048,29,28,419,252
21.81230298,31,34,420,273
21.85851549,27,42,422,236
21.90472799,38,43,399,268
21.9509405,20,31,386,240
21.99715301,25,36,395,258
22.04336551,28,30,391,243
22.08957802,24,26,421,247
22.13579053,27,32,404,269
22.18200303,25,32,420,267
22.22821554,31,35,397,218
