 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,1.123,6.330,0.352,2.627,0.744,3.529,1.398
2,0.030,1.310,0.219,0.637,0.071,9.014,0.212
3,0.276,2.209,0.710,0.912,0.530,1.720,0.695
4,6.710,35.499,0.067,7.117,4.362,1.632,5.572
5,0.124,1.303,0.915,0.471,0.379,1.243,0.423
6,1.822,6.987,0.469,2.329,1.381,1.687,1.793
7,1.260,8.529,0.218,2.675,1.217,2.198,1.804
8,0.286,2.027,0.875,0.749,0.560,1.338,0.647
9,0.712,4.360,0.470,1.319,0.989,1.333,1.143
10,0.248,1.918,0.849,0.728,0.459,1.586,0.578
11,0.124,1.810,0.474,0.790,0.298,2.653,0.485
12,0.763,5.246,0.348,2.288,0.642,3.564,1.212
13,0.017,0.603,0.604,0.285,0.071,4.031,0.142
14,0.410,2.625,0.747,0.941,0.710,1.326,0.817
15,0.974,5.710,0.375,1.696,1.377,1.232,1.528
16,1.119,6.649,0.318,1.764,1.336,1.320,1.535
17,0.963,5.001,0.484,2.086,0.703,2.966,1.211
18,0.491,3.278,0.574,1.208,0.742,1.627,0.947
19,0.782,4.647,0.455,1.746,0.916,1.906,1.265
20,0.961,5.218,0.444,2.014,0.851,2.368,1.309
21,11.347,51.615,0.054,16.934,3.977,4.257,8.207
22,18.934,93.348,0.027,14.594,8.508,1.715,11.143
23,0.045,0.741,1.000,0.291,0.212,1.374,0.249
24,0.307,2.484,0.626,1.075,0.389,2.765,0.646
25,0.240,1.897,0.837,0.761,0.457,1.664,0.590
26,0.074,1.053,0.835,0.414,0.247,1.672,0.320
27,0.248,2.097,0.710,0.850,0.424,2.003,0.600
28,0.081,1.074,0.885,0.382,0.318,1.202,0.349
29,0.044,0.824,0.809,0.335,0.177,1.897,0.243
30,0.371,2.651,0.663,0.955,0.685,1.395,0.808
31,0.121,1.265,0.951,0.459,0.353,1.300,0.403
32,1.337,8.222,0.249,2.972,1.138,2.611,1.839
33,0.026,0.791,0.527,0.376,0.137,2.738,0.227
34,0.353,2.380,0.784,0.906,0.565,1.602,0.716
35,1.209,6.125,0.405,2.042,1.455,1.404,1.724
36,0.107,1.418,0.671,0.617,0.212,2.911,0.362
37,0.245,1.906,0.846,0.664,0.569,1.167,0.615
38,1.120,6.232,0.362,2.374,0.917,2.588,1.476
39,0.147,1.465,0.863,0.604,0.353,1.709,0.462
40,0.543,4.195,0.388,1.264,0.895,1.412,1.064
41,1.211,6.994,0.311,2.609,1.040,2.508,1.647
42,1.021,7.123,0.253,3.164,0.816,3.879,1.606
43,0.047,0.874,0.781,0.360,0.177,2.040,0.252
44,2.332,8.551,0.401,2.554,2.136,1.196,2.336
45,0.242,1.901,0.842,0.686,0.530,1.294,0.603
46,3.969,21.732,0.106,5.095,2.536,2.010,3.594
47,0.322,2.118,0.902,0.806,0.565,1.425,0.675
48,9.029,39.627,0.072,8.472,2.675,3.167,4.761
49,0.139,1.344,0.964,0.481,0.389,1.236,0.432
50,1.049,6.004,0.366,2.547,0.717,3.550,1.352
51,0.296,2.097,0.845,0.806,0.550,1.466,0.666
52,1.892,9.544,0.261,2.650,1.912,1.386,2.251
53,0.139,1.365,0.935,0.491,0.424,1.158,0.456
54,0.243,1.997,0.767,0.749,0.511,1.465,0.619
55,0.880,3.662,0.825,1.359,0.903,1.505,1.108
56,0.085,1.053,0.962,0.381,0.318,1.197,0.348
57,0.115,1.244,0.932,0.481,0.350,1.374,0.410
58,0.072,0.974,0.960,0.382,0.283,1.352,0.329
59,0.568,2.847,0.881,1.020,0.775,1.317,0.889
60,0.261,2.327,0.606,0.892,0.530,1.682,0.688
61,0.933,4.531,0.571,1.916,0.749,2.560,1.198
62,1.289,4.931,0.666,1.824,1.099,1.660,1.416
63,0.237,1.892,0.832,0.715,0.459,1.558,0.573
64,0.044,0.732,1.000,0.285,0.212,1.344,0.246
65,0.562,2.788,0.908,0.961,0.800,1.202,0.877
66,0.572,3.200,0.702,1.231,0.746,1.649,0.958
67,1.481,8.138,0.281,2.709,1.039,2.607,1.677
68,0.277,2.147,0.755,0.905,0.470,1.924,0.652
69,0.233,2.194,0.610,0.838,0.448,1.871,0.612
70,0.236,2.015,0.731,0.834,0.400,2.086,0.577
71,2.375,10.168,0.289,3.219,1.959,1.643,2.511
72,0.890,4.593,0.530,1.987,0.611,3.253,1.102
73,0.421,3.342,0.474,1.319,0.537,2.455,0.842
74,0.637,3.542,0.638,1.360,0.664,2.049,0.950
75,0.521,3.004,0.725,1.243,0.601,2.069,0.864
76,0.747,3.245,0.891,1.097,0.883,1.242,0.984
77,0.179,1.506,0.989,0.539,0.459,1.174,0.498
78,0.039,0.791,0.777,0.353,0.175,2.020,0.249
79,0.030,0.591,1.000,0.237,0.177,1.342,0.205
80,0.506,4.440,0.322,1.903,0.408,4.662,0.881
81,0.631,3.230,0.760,1.286,0.702,1.831,0.951
82,0.110,1.253,0.880,0.437,0.379,1.152,0.407
83,0.298,2.094,0.855,0.756,0.525,1.441,0.630
84,0.543,3.287,0.632,1.328,0.526,2.524,0.836
85,0.430,2.409,0.930,0.824,0.733,1.125,0.777
86,0.231,2.065,0.681,0.905,0.375,2.415,0.582
87,1.808,9.874,0.233,2.941,1.237,2.378,1.907
88,2.315,9.866,0.299,4.112,1.062,3.871,2.090
89,3.963,17.194,0.168,5.586,1.757,3.180,3.133
90,3.042,14.003,0.195,5.511,1.368,4.028,2.746
91,0.042,0.712,1.000,0.269,0.212,1.269,0.239
92,0.054,0.841,0.954,0.316,0.250,1.265,0.281
93,0.624,3.667,0.583,1.590,0.575,2.767,0.956
94,0.338,2.347,0.772,0.855,0.619,1.382,0.728
95,2.045,10.857,0.218,3.267,1.800,1.815,2.425
96,0.040,0.762,0.865,0.316,0.200,1.581,0.251
97,0.512,3.200,0.628,1.280,0.663,1.931,0.921
98,0.181,1.806,0.697,0.735,0.353,2.084,0.509
99,1.403,7.910,0.282,2.269,1.637,1.386,1.927
100,0.783,6.141,0.261,1.708,1.115,1.532,1.380
101,0.648,4.086,0.488,1.659,0.662,2.507,1.048
102,0.172,1.627,0.818,0.632,0.389,1.626,0.496
103,0.552,2.921,0.813,1.117,0.664,1.684,0.861
104,0.106,1.153,1.000,0.427,0.353,1.208,0.388
105,0.524,2.830,0.823,1.001,0.711,1.407,0.844
106,0.582,3.707,0.532,1.486,0.655,2.268,0.987
107,0.040,0.762,0.865,0.316,0.194,1.629,0.248
108,1.003,8.447,0.177,2.533,1.035,2.447,1.619
109,0.079,0.994,1.000,0.382,0.283,1.352,0.329
110,3.636,19.650,0.118,4.650,2.427,1.916,3.359
111,0.089,1.074,0.966,0.412,0.318,1.296,0.362
112,1.008,4.774,0.556,1.549,1.212,1.278,1.370
113,0.358,2.518,0.710,1.079,0.473,2.279,0.715
114,0.445,3.359,0.495,1.526,0.436,3.501,0.816
115,0.512,3.259,0.606,1.407,0.513,2.744,0.849
116,1.329,9.420,0.188,3.507,0.900,3.896,1.777
117,5.646,16.877,0.249,5.571,2.323,2.399,3.597
118,0.263,2.485,0.536,1.082,0.387,2.792,0.647
119,0.070,0.953,0.967,0.369,0.247,1.491,0.302
120,4.750,21.312,0.131,5.413,2.393,2.262,3.599
121,0.725,4.460,0.458,1.802,0.730,2.470,1.147
122,1.149,6.600,0.331,2.660,0.839,3.170,1.494
123,0.074,1.003,0.920,0.403,0.275,1.466,0.333
124,0.351,2.618,0.643,1.063,0.505,2.107,0.732
125,0.905,4.490,0.564,1.727,0.800,2.159,1.175
