 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.103,1.454,0.612,0.652,0.261,2.495,0.413
2,0.892,7.189,0.217,1.817,1.006,1.807,1.352
3,0.036,0.721,0.876,0.308,0.149,2.062,0.214
4,0.564,5.855,0.207,2.503,0.485,5.160,1.102
5,0.167,2.482,0.341,0.688,0.522,1.317,0.600
6,0.092,1.494,0.517,0.661,0.224,2.953,0.385
7,2.897,28.314,0.045,5.901,2.042,2.889,3.472
8,0.054,1.177,0.492,0.468,0.224,2.088,0.324
9,0.446,4.908,0.232,1.300,0.780,1.665,1.007
10,0.035,0.690,0.919,0.291,0.187,1.562,0.233
11,0.078,1.898,0.272,0.718,0.354,2.025,0.504
12,0.799,8.950,0.125,2.190,1.170,1.872,1.601
13,1.196,13.025,0.089,3.729,1.333,2.797,2.229
14,0.018,0.615,0.601,0.269,0.149,1.803,0.200
15,0.285,3.691,0.263,1.519,0.416,3.651,0.795
16,0.618,8.071,0.119,1.987,1.222,1.627,1.558
17,1.235,12.759,0.095,2.888,1.233,2.342,1.887
18,1.041,11.305,0.102,2.173,1.751,1.241,1.951
19,6.088,67.795,0.017,7.394,4.142,1.785,5.534
20,0.024,0.730,0.559,0.321,0.157,2.048,0.224
21,1.314,15.668,0.067,2.733,1.822,1.500,2.232
22,0.983,7.323,0.230,1.719,1.352,1.272,1.524
23,2.418,15.365,0.129,2.938,2.095,1.403,2.481
24,4.721,41.436,0.035,8.336,2.848,2.927,4.872
25,0.304,3.572,0.299,0.933,0.679,1.374,0.796
26,0.103,1.485,0.587,0.560,0.320,1.751,0.423
27,0.411,5.884,0.149,1.689,0.800,2.112,1.162
28,0.271,2.482,0.554,0.927,0.597,1.552,0.744
29,15.207,124.197,0.012,12.980,5.127,2.532,8.157
30,0.028,0.646,0.838,0.272,0.149,1.820,0.201
31,0.271,3.725,0.246,1.472,0.521,2.827,0.876
32,0.025,0.624,0.808,0.284,0.149,1.904,0.206
33,0.021,0.646,0.629,0.269,0.176,1.529,0.218
34,0.116,1.814,0.441,0.708,0.299,2.372,0.460
35,0.475,5.185,0.222,1.575,0.673,2.341,1.029
36,1.770,20.075,0.055,3.893,1.591,2.446,2.489
37,0.149,2.069,0.437,0.673,0.501,1.344,0.580
38,0.085,1.529,0.457,0.688,0.224,3.073,0.392
39,0.019,0.690,0.515,0.319,0.098,3.248,0.177
40,0.391,3.734,0.353,1.232,0.673,1.830,0.911
41,0.629,6.315,0.198,2.091,0.970,2.156,1.424
42,0.110,1.811,0.422,0.667,0.352,1.894,0.485
43,0.221,2.197,0.577,0.798,0.522,1.527,0.646
44,12.448,107.678,0.013,13.069,3.873,3.374,7.115
45,0.056,0.892,0.880,0.373,0.224,1.667,0.289
46,0.028,0.624,0.898,0.250,0.187,1.342,0.216
47,0.549,7.105,0.137,2.106,1.000,2.106,1.451
48,0.251,3.955,0.201,1.282,0.554,2.314,0.843
49,0.315,3.545,0.315,1.027,0.541,1.896,0.746
50,0.947,12.337,0.078,3.254,1.023,3.181,1.824
51,1.211,11.596,0.113,2.353,1.306,1.802,1.753
52,0.038,1.028,0.447,0.402,0.149,2.693,0.245
53,18.600,143.553,0.011,17.085,5.676,3.010,9.847
54,0.412,4.368,0.271,1.389,0.597,2.326,0.911
55,0.479,6.251,0.154,1.643,1.227,1.339,1.420
56,0.036,0.782,0.743,0.334,0.197,1.697,0.256
57,0.216,2.131,0.597,0.769,0.527,1.461,0.636
58,4.597,45.304,0.028,9.406,2.493,3.773,4.842
59,3.832,37.418,0.034,5.379,3.149,1.708,4.116
60,0.446,5.787,0.167,1.983,0.663,2.992,1.147
61,0.084,1.379,0.552,0.555,0.224,2.478,0.352
62,0.017,0.540,0.719,0.236,0.112,2.108,0.163
63,0.518,7.409,0.119,2.199,0.996,2.208,1.480
64,0.116,1.582,0.581,0.602,0.336,1.792,0.450
65,0.206,2.540,0.401,0.902,0.500,1.803,0.671
66,0.095,1.463,0.556,0.615,0.224,2.749,0.371
67,0.036,0.646,1.000,0.250,0.187,1.342,0.216
68,0.968,8.854,0.155,2.793,0.991,2.819,1.663
69,0.040,0.782,0.829,0.321,0.207,1.551,0.258
70,0.064,1.217,0.543,0.534,0.222,2.409,0.344
71,0.388,5.469,0.163,2.006,0.696,2.882,1.182
72,0.157,2.096,0.450,0.834,0.398,2.095,0.576
73,0.064,1.006,0.795,0.390,0.224,1.740,0.295
74,0.582,8.104,0.111,1.823,0.966,1.887,1.327
75,0.157,2.666,0.278,1.159,0.258,4.488,0.547
76,0.150,2.026,0.461,0.688,0.501,1.372,0.587
77,0.031,0.752,0.681,0.301,0.185,1.629,0.236
78,0.053,1.006,0.656,0.437,0.212,2.056,0.305
79,0.170,2.914,0.251,0.756,0.565,1.337,0.654
80,0.155,2.153,0.419,0.736,0.427,1.722,0.561
81,0.033,0.804,0.649,0.367,0.176,2.092,0.254
82,1.259,10.435,0.145,2.588,1.272,2.034,1.814
83,0.106,1.165,0.980,0.455,0.343,1.328,0.395
84,0.170,2.764,0.279,0.769,0.501,1.534,0.621
