 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,0.108,2.443,0.228,1.170,0.111,10.512,0.361
2,0.291,2.497,0.587,0.880,0.612,1.437,0.734
3,0.805,5.576,0.326,2.404,0.612,3.926,1.213
4,0.034,0.839,0.609,0.394,0.111,3.536,0.209
5,1.592,8.220,0.296,3.286,1.069,3.073,1.874
6,3.225,14.610,0.190,4.017,2.005,2.004,2.838
7,0.081,1.409,0.510,0.615,0.223,2.761,0.370
8,2.831,9.707,0.378,2.990,2.237,1.336,2.586
9,1.840,14.584,0.109,6.635,0.724,9.170,2.191
10,0.068,1.219,0.576,0.548,0.223,2.462,0.349
11,3.398,9.366,0.487,3.591,1.662,2.160,2.443
12,0.096,1.678,0.429,0.743,0.223,3.335,0.407
13,6.149,19.036,0.213,6.565,2.720,2.414,4.226
14,0.270,2.313,0.633,1.016,0.334,3.041,0.582
15,0.130,1.422,0.808,0.622,0.278,2.236,0.416
16,0.511,2.590,0.958,0.906,0.779,1.163,0.840
17,0.115,1.422,0.712,0.635,0.278,2.280,0.420
18,3.219,14.391,0.195,4.788,1.731,2.766,2.879
19,0.273,2.419,0.586,1.026,0.390,2.634,0.632
20,0.065,1.534,0.348,0.670,0.223,3.010,0.386
21,0.149,1.390,0.967,0.568,0.334,1.700,0.435
22,0.353,2.196,0.920,0.775,0.668,1.161,0.720
23,0.108,1.933,0.365,0.897,0.210,4.264,0.435
24,3.265,11.849,0.292,3.643,1.670,2.182,2.466
25,0.053,0.839,0.941,0.373,0.167,2.236,0.250
26,0.062,1.219,0.524,0.513,0.214,2.398,0.331
27,1.329,6.556,0.389,2.759,0.830,3.324,1.513
28,5.279,16.266,0.251,5.482,2.793,1.963,3.913
29,0.217,1.881,0.770,0.791,0.472,1.675,0.611
30,8.894,22.363,0.223,8.543,2.046,4.176,4.181
31,13.665,33.382,0.154,7.188,5.488,1.310,6.281
32,0.229,1.783,0.906,0.697,0.472,1.477,0.574
