 ,Length
1,2.53
2,1.48
3,0.58
4,0.89
5,0.34
6,0.50
7,0.54
8,1.28
9,0.70
10,1.72
11,1.41
12,1.19
13,1.11
14,0.81
15,1.79
16,3.36
17,1.34
18,2.16
19,1.72
20,3.35
21,0.97
22,2.12
23,1.72
24,0.80
25,0.60
26,0.40
27,1.49
28,0.76
29,3.16
30,1.61
31,1.87
32,3.18
33,1.94
34,0.92
35,0.52
36,1.54
37,1.40
38,2.05
39,0.49
40,0.70
41,0.95
42,2.08
43,0.78
44,2.30
45,0.48
46,1.22
47,1.66
48,0.63
49,0.61
50,2.84
51,0.85
52,0.72
53,3.20
54,1.93
55,2.87
56,1.08
57,0.83
58,1.06
59,0.95
60,1.09
61,0.56
62,1.00
63,0.76
64,1.49
65,1.04
66,1.07
67,0.90
68,0.90
69,3.34
70,4.86
71,3.27
72,1.72
73,2.93
74,4.13
75,1.75
76,0.94
77,0.96
78,1.38
79,0.97
80,1.55
81,1.19
82,0.55
83,0.77
84,0.77
85,0.89
86,0.83
87,2.81
88,0.55
89,0.56
90,0.40
91,1.54
92,0.70
93,0.86
94,0.72
95,0.59
96,1.32
97,1.03
98,0.98
99,2.11
100,0.46
101,1.15
102,0.79
103,3.17
104,1.90
105,1.79
106,0.80
107,2.36
108,0.88
109,0.71
110,0.27
111,0.23
112,1.13
113,1.23
114,0.38
115,0.33
116,0.75
117,0.67
118,5.84
119,3.50
120,1.53
121,0.53
122,1.56
123,0.78
124,1.10
125,1.25
126,0.76
127,0.94
128,1.78
129,1.26
130,2.67
131,0.46
132,0.59
133,1.62
134,1.76
135,0.97
136,1.64
137,2.03
138,2.07
139,1.30
140,1.49
141,2.19
142,1.13
143,0.68
144,0.87
145,0.44
146,1.72
147,1.70
148,1.28
149,1.23
150,0.91
151,0.44
152,0.65
153,0.84
154,0.99
155,1.05
156,0.74
157,1.09
158,1.06
159,1.27
160,1.23
161,2.63
162,1.20
163,2.11
164,2.18
165,0.80
166,0.66
167,1.49
168,0.99
169,0.66
170,1.76
171,0.49
172,0.52
173,0.68
174,0.82
175,0.42
176,0.88
177,0.47
178,0.27
179,0.33
180,1.06
181,2.58
182,0.95
183,0.65
184,0.77
185,1.43
186,0.26
187,0.68
188,2.25
189,2.92
190,1.56
191,1.32
192,3.89
193,1.56
194,1.30
195,0.87
196,0.82
197,1.59
198,0.40
199,0.88
200,1.07
201,0.92
202,0.57
203,0.78
204,1.43
205,0.96
206,1.76
207,1.74
208,0.91
209,2.67
210,2.29
211,2.11
212,1.11
213,0.88
214,0.42
215,1.00
216,2.21
217,0.76
218,1.09
219,1.11
220,2.24
221,0.85
222,0.65
223,4.18
224,4.30
225,1.84
226,2.23
227,1.76
228,1.44
229,4.65
230,3.09
231,1.53
232,2.09
233,2.46
234,1.62
235,0.91
236,1.67
237,1.87
238,0.68
239,0.82
240,0.84
