 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,1.291,5.181,0.604,1.955,1.152,1.696,1.501
2,1.905,8.937,0.300,3.741,1.082,3.457,2.012
3,0.589,2.730,0.993,1.062,0.784,1.355,0.912
4,1.040,3.745,0.932,1.455,1.029,1.414,1.224
5,0.276,1.807,1.000,0.708,0.560,1.265,0.629
6,1.065,4.417,0.686,1.836,0.960,1.912,1.328
7,0.338,2.004,1.000,0.807,0.560,1.442,0.672
8,0.226,1.780,0.895,0.708,0.448,1.581,0.563
9,0.576,2.888,0.868,1.102,0.792,1.393,0.934
10,1.504,7.420,0.343,3.260,0.839,3.886,1.654
11,20.124,71.443,0.050,12.292,8.149,1.508,10.008
12,1.140,4.351,0.757,1.523,1.187,1.282,1.345
13,0.401,2.162,1.000,0.807,0.672,1.202,0.736
14,0.376,2.255,0.929,0.963,0.633,1.521,0.781
15,0.301,2.413,0.649,1.152,0.489,2.354,0.751
16,0.789,4.745,0.441,2.064,0.697,2.963,1.199
17,0.990,3.560,0.982,1.310,1.007,1.301,1.149
18,0.514,2.637,0.928,1.102,0.672,1.641,0.861
19,0.902,4.641,0.526,1.876,0.835,2.246,1.252
20,0.451,2.795,0.726,1.206,0.649,1.857,0.885
21,4.699,11.061,0.483,4.263,2.353,1.812,3.167
22,7.293,22.280,0.185,6.361,3.613,1.760,4.794
23,0.664,3.467,0.694,1.506,0.871,1.730,1.145
24,1.591,6.552,0.466,2.705,1.010,2.679,1.653
25,3.872,14.501,0.231,4.070,2.219,1.834,3.005
26,0.827,3.849,0.701,1.664,0.779,2.137,1.138
27,2.656,10.516,0.302,4.214,1.396,3.018,2.425
28,2.556,7.736,0.537,3.254,1.444,2.253,2.168
29,0.501,2.544,0.973,1.001,0.672,1.491,0.820
30,0.276,1.807,1.000,0.708,0.560,1.265,0.629
31,1.704,5.247,0.778,2.058,1.126,1.828,1.522
32,0.526,2.571,1.000,1.001,0.784,1.278,0.886
33,0.501,2.479,1.000,1.001,0.672,1.491,0.820
34,0.940,3.521,0.953,1.403,0.950,1.477,1.154
35,14.260,42.912,0.097,12.078,4.544,2.658,7.409
36,2.757,8.528,0.476,3.012,1.781,1.692,2.316
37,0.664,2.899,0.993,1.119,0.784,1.429,0.937
38,1.829,5.208,0.848,2.091,1.343,1.557,1.676
39,0.514,3.019,0.708,1.310,0.597,2.194,0.885
40,1.754,6.262,0.562,2.558,1.098,2.330,1.676
41,2.932,9.942,0.373,3.136,1.894,1.656,2.437
42,0.865,3.401,0.939,1.276,0.896,1.425,1.069
43,4.486,12.497,0.361,4.347,2.472,1.758,3.278
44,3.070,9.073,0.469,2.661,2.215,1.201,2.428
45,0.414,2.255,1.000,0.853,0.672,1.269,0.757
46,18.194,35.089,0.186,9.468,5.267,1.797,7.062
47,0.489,2.413,1.000,0.902,0.784,1.152,0.841
48,2.656,8.107,0.508,2.555,1.977,1.292,2.247
49,1.930,5.880,0.701,2.173,1.455,1.494,1.778
50,0.376,2.189,0.986,0.853,0.672,1.269,0.757
