 ,Area,Perim.,Circ.,d1,d2,D1divD2,DC
1,4.845,13.248,0.347,5.562,1.677,3.316,3.054
2,0.083,1.155,0.784,0.532,0.194,2.749,0.321
3,0.250,1.907,0.863,0.721,0.516,1.398,0.610
4,0.050,0.972,0.664,0.456,0.129,3.536,0.243
5,1.232,4.657,0.714,1.925,0.949,2.029,1.351
6,6.389,14.694,0.372,5.835,2.251,2.592,3.624
7,1.940,6.793,0.528,2.842,1.032,2.753,1.713
8,3.230,10.353,0.379,3.872,1.878,2.062,2.696
9,6.173,18.410,0.229,5.347,3.506,1.525,4.330
10,0.395,2.347,0.902,0.930,0.645,1.442,0.775
11,1.228,4.125,0.907,1.534,1.032,1.486,1.258
12,0.857,3.427,0.918,1.224,0.968,1.265,1.088
13,0.050,0.972,0.664,0.456,0.129,3.536,0.243
14,0.666,2.948,0.963,1.068,0.903,1.182,0.982
15,0.117,1.208,1.000,0.465,0.387,1.202,0.424
16,0.191,1.664,0.868,0.674,0.449,1.501,0.550
17,0.745,3.298,0.861,1.127,1.018,1.107,1.071
18,0.466,2.499,0.938,0.917,0.710,1.292,0.807
19,0.570,2.766,0.937,0.985,0.821,1.199,0.899
20,0.974,3.814,0.842,1.396,1.095,1.275,1.236
21,0.117,1.193,1.000,0.465,0.323,1.442,0.387
22,1.003,4.421,0.645,1.645,1.037,1.586,1.306
23,0.416,2.325,0.967,0.839,0.710,1.182,0.772
24,3.155,10.378,0.368,4.142,1.654,2.504,2.618
25,1.099,3.921,0.898,1.428,1.092,1.307,1.249
26,1.519,5.525,0.625,2.202,1.054,2.090,1.523
27,2.069,6.851,0.554,2.822,1.032,2.734,1.707
28,1.020,3.760,0.906,1.330,1.032,1.288,1.172
29,0.475,2.643,0.853,1.074,0.645,1.664,0.832
30,2.776,7.203,0.673,2.792,1.451,1.924,2.013
31,1.886,7.074,0.474,2.164,1.714,1.263,1.926
32,0.104,1.079,1.000,0.433,0.323,1.342,0.374
33,0.175,1.558,0.906,0.612,0.387,1.581,0.487
34,5.461,11.454,0.523,3.842,2.548,1.508,3.129
35,7.542,18.147,0.288,7.530,2.097,3.591,3.973
36,0.150,1.816,0.571,0.785,0.310,2.535,0.493
37,0.450,2.363,1.000,0.866,0.710,1.220,0.784
38,0.241,1.793,0.943,0.695,0.516,1.346,0.599
39,0.250,1.778,0.993,0.664,0.516,1.287,0.586
40,0.175,1.520,0.951,0.612,0.387,1.581,0.487
41,0.283,2.127,0.786,0.878,0.452,1.943,0.630
42,5.994,17.155,0.256,5.085,3.507,1.450,4.223
43,0.271,1.793,1.000,0.664,0.581,1.144,0.621
44,0.100,1.079,1.000,0.433,0.323,1.342,0.374
45,2.135,8.522,0.370,3.084,1.262,2.445,1.972
46,0.221,1.816,0.841,0.695,0.448,1.551,0.558
47,0.345,2.143,0.946,0.752,0.645,1.166,0.697
48,0.425,2.363,0.955,0.917,0.664,1.382,0.780
49,0.649,2.970,0.925,1.081,0.774,1.397,0.915
50,18.356,59.029,0.066,16.901,4.355,3.881,8.579
51,0.479,2.546,0.928,0.924,0.755,1.224,0.835
52,1.340,5.645,0.529,2.020,1.052,1.919,1.458
53,0.096,1.079,1.000,0.433,0.323,1.342,0.374
54,0.400,2.272,0.973,0.896,0.645,1.389,0.760
55,3.034,9.087,0.462,3.226,1.833,1.760,2.432
56,2.127,6.237,0.687,2.025,1.639,1.235,1.822
57,0.412,2.325,0.958,0.839,0.710,1.182,0.772
58,0.508,2.546,0.985,0.896,0.774,1.158,0.833
59,2.393,6.192,0.784,2.424,1.342,1.807,1.804
60,0.437,2.454,0.912,0.899,0.688,1.305,0.787
61,16.591,33.824,0.182,7.035,5.728,1.228,6.348
62,0.512,2.621,0.936,0.953,0.774,1.230,0.859
63,0.724,3.487,0.749,1.290,0.814,1.586,1.025
64,0.816,3.244,0.974,1.154,0.968,1.193,1.057
65,26.959,53.047,0.120,14.871,5.677,2.620,9.188
66,1.944,8.647,0.327,3.424,1.294,2.646,2.105
67,0.462,2.417,0.994,0.866,0.774,1.118,0.819
68,1.078,5.532,0.443,2.148,0.904,2.375,1.394
69,0.300,1.960,0.980,0.721,0.581,1.242,0.647
70,1.773,5.204,0.823,2.003,1.226,1.634,1.567
71,1.865,5.522,0.768,2.164,1.161,1.863,1.585
72,1.195,4.072,0.905,1.450,1.097,1.322,1.261
73,2.439,9.065,0.373,3.795,1.160,3.271,2.098
74,0.158,1.406,1.000,0.551,0.449,1.228,0.497
75,2.373,9.859,0.307,4.353,0.960,4.533,2.045
76,0.416,2.310,0.981,0.839,0.645,1.300,0.736
77,0.454,2.986,0.639,1.127,0.645,1.746,0.853
78,0.508,2.788,0.821,1.114,0.581,1.918,0.804
79,0.953,3.609,0.920,1.268,1.020,1.243,1.137
80,0.899,3.625,0.860,1.268,1.068,1.187,1.163
81,2.905,8.266,0.534,3.260,1.325,2.461,2.078
82,0.412,2.766,0.677,1.127,0.603,1.867,0.825
83,0.187,1.535,0.998,0.609,0.456,1.334,0.527
84,0.092,1.041,1.000,0.408,0.323,1.265,0.363
85,0.150,1.353,1.000,0.551,0.387,1.424,0.462
86,0.354,2.181,0.935,0.788,0.645,1.221,0.713
87,0.978,3.814,0.845,1.432,0.981,1.460,1.185
88,0.300,1.945,0.996,0.698,0.581,1.202,0.637
89,0.991,4.566,0.597,1.821,0.901,2.021,1.281
90,0.221,1.664,1.000,0.612,0.516,1.186,0.562
