 ,Length
1,0.56
2,0.81
3,1
4,0.6
5,1.34
6,0.71
7,0.48
8,0.34
9,0.18
10,0.21
11,0.73
12,0.49
13,1.35
14,0.69
15,0.76
16,0.53
17,1
18,0.25
19,0.15
20,0.31
21,0.41
22,0.54
23,0.99
24,0.6
25,0.92
26,0.66
27,0.64
28,0.82
29,0.74
30,0.29
31,0.82
32,0.64
33,0.47
34,0.79
35,1.21
36,0.93
37,0.37
38,0.77
39,0.33
40,0.69
41,0.79
42,0.5
43,1.01
44,1.26
45,1.22
46,0.5
47,0.85
48,0.41
49,0.41
50,0.79
51,0.72
52,0.65
53,0.78
54,0.62
55,0.91
56,0.72
57,1.52
58,1.05
59,0.45
60,1
61,0.25
62,1.08
63,0.62
64,0.41
65,0.82
66,0.47
67,0.37
68,0.56
69,0.88
70,0.4
71,0.86
72,0.22
73,0.76
74,0.79
75,1.31
76,0.62
77,0.55
78,0.37
79,0.26
80,0.49
81,0.86
82,0.54
83,0.49
84,1.66
85,0.48
86,0.85
87,0.26
88,0.29
89,0.72
90,0.81
91,1.07
92,0.53
93,0.59
94,0.27
95,0.47
96,1.62
97,1.03
98,0.72
99,0.57
100,0.46
101,0.76
102,0.66
103,1.29
104,0.53
105,0.27
106,0.17
107,0.18
108,0.48
109,0.38
110,0.31
111,0.37
112,0.37
113,1.29
114,1.35
115,0.56
116,1.07
117,1.08
118,0.59
119,0.41
120,0.75
121,0.64
122,0.28
123,0.1
124,0.56
125,0.4
126,0.48
127,0.61
128,0.28
129,0.42
130,0.26
131,0.68
132,0.61
133,0.43
134,0.83
135,0.71
136,0.48
137,0.5
138,0.61
139,0.29
140,0.52
141,0.51
142,0.4
143,0.99
144,0.55
145,0.4
146,0.96
147,0.07
148,0.59
149,0.45
150,0.33
151,0.38
152,0.46
153,0.67
154,0.65
155,0.42
156,1.44
157,0.55
158,0.42
159,0.51
160,0.46
161,0.48
162,0.45
163,0.25
164,0.65
165,0.52
166,0.41
167,0.2
168,0.52
169,0.33
170,0.45
171,0.42
172,0.24
173,0.88
174,0.34
175,0.31
176,0.85
177,0.88
178,1.09
179,1.46
180,0.51
181,0.94
182,0.46
183,0.49
184,0.47
185,0.43
186,0.35
187,0.35
188,0.46
189,0.24
190,0.35
191,1.22
192,0.49
193,0.58
