 ,Length
1,6.06
2,3.86
3,3.23
4,1.94
5,2.74
6,0.83
7,1.26
8,1.55
9,1.25
10,1.9
11,0.85
12,0.57
13,0.79
14,1.1
15,1.57
16,0.98
17,2.96
18,7.7
19,2.3
20,1.74
21,0.59
22,1.07
23,1.31
24,1.03
25,1.73
26,2.22
27,1.83
28,3.9
29,2.71
30,2.13
31,1.82
32,0.84
33,2.64
34,0.29
35,0.58
36,1.09
37,0.75
38,0.83
39,1.7
40,1.31
41,1.66
42,3.09
43,1.89
44,2.04
45,2.69
46,1.21
47,0.45
48,0.61
49,0.58
50,0.86
51,1.44
52,0.73
53,1.85
54,0.32
55,2.73
56,3.84
57,3.47
58,3.84
59,3.09
60,0.82
61,1.65
62,0.83
63,5.18
64,4.86
65,2.81
66,3.17
67,0.82
68,1.05
69,0.58
70,1.5
71,1.06
72,2.06
73,1.52
74,1.02
75,2.7
76,6.2
77,1.16
78,4.28
79,1.59
80,1.29
81,3.7
82,2.04
83,4.48
84,1.59
85,1.74
86,1
87,1.78
88,0.68
89,16.85
90,2.55
91,1.64
92,0.56
93,2.61
94,3.89
95,1.61
96,1.32
97,0.73
98,0.34
99,1.75
100,0.24
101,2.05
102,1.22
103,2.01
104,0.47
105,0.99
106,0.66
107,0.49
108,3.5
109,3.4
110,0.26
111,12.01
112,9.48
113,3.57
114,3.57
115,3.92
116,4.93
117,0.95
118,3.21
119,6.13
120,1.76
121,4.48
122,3.56
123,2.85
124,5.58
125,5.18
126,4.06
127,14.15
128,10.53
129,3.9
130,9.13
131,4.97
132,4.56
133,6.08
134,5.78
135,5.26
136,3.59
137,0.52
138,0.84
139,7.64
140,1.92
141,4.36
142,4.24
143,0.72
144,2.8
145,4.94
146,1.57
147,1.11
148,1.25
149,0.58
150,0.76
151,0.99
152,1.74
153,3.3
154,0.86
155,3.57
156,3.98
157,1.54
158,3.92
159,0.59
160,4.48
161,1.85
162,1.78
163,3.95
164,6.06
165,5.59
166,1.05
167,1.01
168,0.91
169,1.61
170,1.07
171,0.69
172,0.99
173,0.91
174,1.02
175,1.14
176,1.22
177,0.84
178,0.85
179,2.06
180,2.51
181,1.73
182,1.31
183,0.63
184,2.83
185,2.4
186,1.68
187,0.95
188,1.09
189,1.74
190,0.3
191,0.8
192,2.35
193,0.94
194,1.19
195,1.23
196,1.42
197,1.17
198,0.47
199,2.05
200,4.16
201,2.03
202,2.41
203,2.48
204,3.87
205,3.4
