 ,Length
1,3.43
2,2.42
3,1.56
4,1.01
5,1.35
6,1.04
7,1.26
8,4.17
9,2.75
10,1.38
11,6.08
12,1.06
13,2.17
14,1.63
15,0.63
16,1.07
17,4.49
18,8.95
19,3.89
20,1.04
21,1.03
22,0.39
23,0.41
24,2.21
25,0.57
26,2.61
27,2.23
28,6.44
29,3.82
30,2.31
31,1.1
32,2.87
33,1.69
34,1.55
35,4.34
36,2.14
37,0.69
38,7.28
39,1.95
40,2.12
41,1.79
42,1.62
43,1.35
44,1.07
45,1.25
46,2.49
47,2.41
48,2
49,1.26
50,0.74
51,0.93
52,1.35
53,1.46
54,1.04
55,0.7
56,1.04
57,1.61
58,1.28
59,1.58
60,0.76
61,0.81
62,2.58
63,2.95
64,2.53
65,2.79
66,0.64
67,1.07
68,1.44
69,1.58
70,1.48
71,1.16
72,1.73
73,4.34
74,4.66
75,8.58
76,1.91
77,1.55
78,0.68
79,0.79
80,1.82
81,1.48
82,0.61
83,1.96
84,1.05
85,1.55
86,1.05
87,1.86
88,1.34
89,0.69
90,1.34
91,1.28
92,0.99
93,0.64
94,0.77
95,0.72
96,0.85
97,1.36
98,1.23
99,1.06
100,1.49
101,3.08
102,4.16
103,1.19
104,1.09
105,1.32
106,0.8
107,0.65
108,0.6
109,0.71
110,2.14
111,0.91
112,0.87
113,0.93
114,2.7
115,2
116,0.86
117,2.54
118,0.39
119,0.68
120,1.46
121,1.32
122,2.29
123,7.42
124,2.95
125,2.07
126,1.55
127,1.62
128,1.56
129,2
130,0.54
131,9.51
132,0.83
133,1.85
134,1.07
135,1
136,2.21
137,0.61
138,1.4
139,1
140,1.59
141,0.85
142,0.92
143,0.87
144,0.8
145,0.98
146,2.12
147,2.09
148,2.43
149,2.03
150,2.82
151,2.45
152,0.56
153,0.86
154,0.55
155,1.46
156,0.52
157,1.05
158,0.42
159,0.28
160,0.43
161,0.59
162,0.44
163,0.81
164,0.48
165,0.45
166,0.68
167,4.18
168,0.63
169,0.42
170,1.7
171,1.97
172,0.58
173,0.4
174,0.26
175,0.7
176,1.72
177,0.86
178,0.56
179,3.2
180,3.82
181,0.94
182,0.58
183,0.76
184,1.21
185,1.08
186,0.65
187,1.06
188,0.93
189,1.22
190,0.61
191,0.96
192,0.88
193,0.31
194,4.84
195,2.16
196,0.51
197,1.14
198,0.96
199,1.36
200,1.33
201,2.19
202,0.57
203,8.36
204,2.43
205,1.65
206,0.6
207,2.61
208,1.17
209,1
210,1.56
211,0.53
212,0.42
213,0.68
214,0.26
215,0.52
216,1.13
217,0.56
218,1.1
219,1.1
220,0.3
221,1.43
222,0.61
223,0.58
224,1.5
225,0.89
226,1.06
227,0.22
228,0.38
229,0.56
230,0.52
231,1.14
232,0.92
233,0.77
234,0.61
235,0.9
236,0.69
237,2.78
238,5.05
239,1.37
240,4.23
241,3.61
242,1.05
243,0.64
244,0.59
245,0.84
246,0.32
247,1
248,4.66
249,1.7
250,0.47
251,0.3
252,0.85
253,0.54
254,1.93
255,5
256,1.01
257,0.58
258,0.83
259,1.48
260,0.38
261,0.65
262,0.81
263,0.41
264,0.86
265,0.55
266,0.84
267,0.52
268,0.67
269,0.74
270,0.9
271,0.62
272,1.14
273,4.53
274,0.54
275,0.69
276,0.8
277,0.46
278,1.1
279,0.89
280,2.99
281,0.96
282,0.35
283,0.49
284,0.94
