 ,Length
1,10.39
2,10.92
3,6.82
4,4.3
5,3.09
6,6.73
7,2.55
8,2.71
9,2.55
10,3.11
11,3.36
12,9.47
13,7.48
14,5.72
15,5.22
16,2.32
17,2.47
18,3.59
19,3.09
20,3.43
21,1.91
22,1.52
23,2.58
24,1.41
25,2.57
26,2.29
27,4.97
28,3.65
29,2.86
30,3.37
31,6.69
32,2.99
33,2.44
34,1.96
35,4.19
36,1.51
37,1.72
38,3.19
39,2.21
40,2.66
41,2.82
42,4.37
43,2.05
44,1.51
45,1.3
46,3.12
47,2.35
48,3.32
49,4.31
50,3.26
51,4.54
52,4.91
53,2.81
54,2.6
55,0.65
56,1.88
57,2.13
58,2.55
59,1.33
60,2.61
61,2.19
62,1.75
63,1.85
64,1.96
65,1.92
66,1.47
67,2.96
68,2.26
69,3.18
70,2.2
71,0.44
72,0.39
73,0.43
74,0.65
75,0.68
76,3.77
77,2.24
78,1.07
79,1.66
80,1.3
81,2.6
82,1.8
83,5.11
84,4.05
85,5.12
86,2.78
87,3.25
88,0.53
89,2.33
90,2.57
91,1.89
92,1.52
93,0.75
94,0.51
95,0.91
96,0.53
97,1.53
98,0.77
99,0.83
100,0.53
101,1.24
102,2.08
103,2.27
104,3.51
105,1.85
106,3.01
107,4.71
108,1.75
109,4.37
110,1.47
111,6.06
112,1.01
113,0.93
114,0.52
115,0.54
116,0.44
117,1.24
118,1.23
119,9.88
120,4.4
121,1.68
122,1.65
123,2.07
124,1.2
125,0.97
126,1.1
127,0.75
128,7.07
129,1.37
130,2.15
131,1.29
132,1.53
133,1.8
134,1.45
135,1.15
136,1.48
137,1.04
138,1.49
139,1.7
140,1.84
141,1.53
142,1.68
143,1.81
144,1.79
145,4.15
146,3.67
147,1.34
148,1.05
149,1.04
150,0.69
151,4.36
152,1.79
153,3.25
154,1.79
155,2.49
156,2.44
157,2.67
158,1.93
159,3.1
160,5.4
161,1.47
162,3.62
163,4.11
164,2.89
165,3.36
166,3.12
167,2.32
168,2.25
169,2
170,2.14
171,2.6
172,2.77
173,2.53
174,1.97
175,1.44
176,1.65
177,1.2
178,0.47
179,3.16
180,3.43
181,4.81
182,2.19
183,2.39
184,1.79
185,1.61
