 ,Length
1,2.74
2,0.74
3,0.74
4,1.26
5,2.41
6,1.24
7,1.91
8,0.99
9,1.35
10,2.02
11,2.84
12,1.4
13,1.45
14,2.35
15,0.97
16,1.8
17,1.43
18,1.85
19,1.74
20,1.59
21,2.86
22,0.88
23,1.15
24,2.41
25,1.92
26,0.88
27,1.06
28,1.08
29,1.92
30,2.46
31,1.23
32,0.36
33,1.25
34,2.74
35,2.39
36,1.89
37,1.98
38,1.45
39,1.05
40,1.08
41,1.42
42,1.17
43,1.7
44,1.02
45,2.21
46,1.03
47,1.13
48,0.59
49,1.15
50,0.19
51,0.82
52,1.53
53,1.29
54,0.68
55,0.58
56,1.83
57,1.43
58,2.26
59,2.2
60,2.12
61,2.14
62,1.08
63,1.77
64,1.8
65,1.25
66,1.31
67,0.84
68,1.08
69,1.23
70,1.78
71,1.78
72,2.04
73,0.55
74,0.98
75,1.06
76,1.34
77,2.46
78,1.68
79,2.35
80,1.8
81,2.97
82,1.98
83,3.86
84,2.23
85,1.74
86,3.63
87,1.03
88,3.09
89,0.75
90,1.3
91,1.02
92,0.67
93,0.82
94,1.45
95,2.06
96,2.12
97,4.23
98,2.1
99,1.92
100,0.45
101,0.45
102,0.41
103,0.74
104,0.76
105,0.32
106,0.3
107,0.62
108,0.75
109,1.25
110,1.67
111,0.41
112,2.61
113,0.98
114,1.5
115,2.91
116,2.79
117,3.28
118,3.81
119,1.66
120,1.07
121,1.16
122,1.63
123,2.88
124,1.97
125,1.53
126,3.26
127,0.54
128,0.17
129,0.32
130,0.95
131,0.49
132,1.86
133,1.63
134,2.27
135,0.75
136,0.67
137,0.6
138,1.17
139,1.05
140,1.08
141,1.14
142,1.27
143,2.33
144,1.02
145,1.45
146,0.94
147,1
148,0.73
149,2.01
150,1.36
151,1.37
152,1.08
153,0.56
154,1.56
155,0.37
156,0.76
157,1.4
158,1.1
159,0.81
160,0.27
161,0.77
162,0.55
163,1.24
164,0.84
165,2.21
166,0.92
167,2.45
168,2.14
169,1.55
170,0.51
171,1.45
172,1.02
173,0.9
174,1.12
175,1.94
176,1.13
177,1.16
178,0.54
179,0.55
180,1.77
181,1.07
182,1.66
183,0.39
184,0.69
185,3.57
186,0.26
187,0.22
188,1.1
189,1.92
190,2.09
191,0.58
192,0.95
193,0.17
194,0.15
195,0.39
196,0.98
197,0.8
198,1.87
199,0.62
200,1.73
201,0.77
202,0.84
203,1.23
204,1.48
205,1.27
206,0.55
207,1.42
208,1.31
209,0.95
210,1.19
211,0.47
212,0.71
213,2.67
214,0.96
215,1.2
216,1.26
217,0.69
218,1.42
219,0.53
220,0.32
221,0.21
222,0.95
223,0.76
224,2.48
225,1.56
226,1.52
227,1.76
228,1.5
229,0.73
230,2.6
231,0.96
232,0.79
233,1.04
234,0.6
235,0.6
236,0.34
237,1.03
238,1.64
239,0.12
240,0.1
241,0.14
242,0.59
243,0.16
244,1.07
245,1.68
246,1.27
247,1.92
248,1.25
249,1.03
250,0.39
251,1.26
