 ,Length
1,5.95
2,9.1
3,5.99
4,4.14
5,6.92
6,18.75
7,7.91
8,3.26
9,3.68
10,11.48
11,7.39
12,2.08
13,5.15
14,5.38
15,7.42
16,2.27
17,4.64
18,1.43
19,4.03
20,2.62
21,4.58
22,3.06
23,6.81
24,6.94
25,6.95
26,1.9
27,2.11
28,4.83
29,4.34
30,6.72
31,4.39
32,3.76
33,4.03
34,2.71
35,0.46
36,4.14
37,1.25
38,5.93
39,1.5
40,4.44
41,1.54
42,1.18
43,1.42
44,2.05
45,2.96
46,7.85
47,4.88
48,8.34
49,1.67
50,12.45
51,4.98
52,3.43
53,2.78
54,2.46
55,3.14
56,3.94
57,7.48
58,1.73
59,4.61
60,5.23
61,4.19
62,3.91
63,6.95
64,7.24
65,3.54
66,4.86
67,7.07
68,8.22
69,4.13
70,7.51
71,2.98
72,3.29
73,3.59
74,3.59
75,2.53
76,2.75
77,4.21
78,3.75
79,1.98
80,1.09
81,7.09
82,4.16
83,5.37
84,2.07
85,1.22
86,1.67
87,3.04
88,2.24
89,6.09
90,1.57
91,3.04
92,1.3
93,2.53
94,3.11
95,1.77
96,2.01
97,4.02
98,2.1
99,6.62
100,4.23
101,2.89
102,1.22
103,3.14
104,2
105,1.46
106,1.6
107,3.1
108,0.86
109,0.99
110,2.34
111,2.51
112,2.92
113,1.87
114,2.25
115,4.15
116,1.8
117,3.59
118,1.14
119,2.17
120,2.38
121,2.7
122,2.04
123,1.48
124,0.86
125,0.93
126,1.18
127,0.85
128,1.57
129,1.3
130,1.3
131,2.91
132,2.08
133,2.6
134,3.29
135,3.95
136,2.57
137,2.17
138,3.98
139,4.48
140,4.24
141,1.95
142,8.27
143,8.9
144,0.99
145,2.87
146,1.86
147,9.97
148,2.22
149,1.64
150,1.81
151,2.23
152,2.49
153,1.08
154,1.68
155,1.14
156,2.96
157,1.57
158,1.97
159,1.87
160,8.58
161,5.54
162,6.66
163,1.14
164,1.88
165,1.66
166,3.01
167,1.65
168,1.63
169,3.51
170,1.8
171,1.79
172,1.99
173,10.9
174,1.34
175,1.03
176,1.93
177,8.06
178,1.42
179,1.71
180,2.15
181,1.72
182,1.18
183,2.35
184,1.79
185,1.15
186,2.2
187,2.46
188,13.12
189,1.15
190,4.92
191,0.7
192,1.48
193,0.56
194,0.71
195,0.81
196,1.5
197,1.56
198,0.97
199,0.62
200,0.35
201,0.74
202,1.08
203,0.8
204,0.94
205,0.8
206,0.91
207,0.77
208,1.65
209,1.37
210,0.8
211,1.3
212,0.71
213,1.96
214,0.58
215,1.45
216,1.19
217,0.65
218,0.51
219,0.58
220,0.53
221,6.7
222,0.6
223,0.82
224,1.08
225,2.09
226,1.47
227,1.71
228,0.8
229,1.61
230,0.62
231,0.79
232,0.45
233,0.54
234,0.35
235,0.98
236,0.77
237,1.25
238,0.34
239,0.49
240,1.12
241,0.67
242,0.68
243,0.69
244,0.97
245,0.86
246,0.61
247,0.84
248,0.79
249,0.63
250,0.72
251,0.89
252,0.66
