 ,Length
1,2.66
2,2.48
3,2.29
4,1.61
5,2.71
6,1.99
7,3.81
8,2.51
9,3.4
10,4.47
11,3.59
12,5.68
13,7.57
14,6.08
15,5.35
16,3.65
17,1.81
18,3.61
19,6.15
20,1.39
21,1.34
22,1.26
23,2.97
24,5.65
25,9.23
26,1.15
27,1.34
28,4.23
29,2.68
30,2.15
31,2.76
32,2.26
33,1.74
34,0.6
35,1.03
36,0.83
37,0.96
38,1.7
39,1.48
40,1.56
41,1
42,2.86
43,0.69
44,1.06
45,2.89
46,3.22
47,1.09
48,0.76
49,1.24
50,1.09
51,1.26
52,5.38
53,3.6
54,3.76
55,4.05
56,2.05
57,2.82
58,1.03
59,1.68
60,2.32
61,4.88
62,1.23
63,2.14
64,1.86
65,1.61
66,2.47
67,4.11
68,8.83
69,8.84
70,1.24
71,1.12
72,5.91
73,4.5
74,1.17
75,2.25
76,2.68
77,3.4
78,3.99
79,3.77
80,2.2
81,2.77
82,2.06
83,1.19
84,1.96
85,1.34
86,2.54
87,1.14
88,1.77
89,4.29
90,2.51
91,0.42
92,1.15
93,1.03
94,2.06
95,2.05
96,2.68
97,2.36
98,2.2
99,0.99
100,0.74
101,1.05
102,4
103,1.83
104,2.57
105,2.44
106,6.82
107,2.51
108,1.29
109,1.52
110,2.59
111,1.32
112,2.29
113,1.46
114,0.69
115,7.29
116,5.17
117,1.85
118,2.04
119,2.22
120,2.12
121,2.02
122,4.82
123,3.64
124,2.98
125,1.88
126,2.81
127,2.51
128,0.74
129,0.75
130,0.92
131,1.34
132,1.17
133,2.33
134,2.14
135,1.96
136,1.99
137,5.68
138,4.89
139,3.94
140,2.09
141,11.57
142,16.27
143,6.96
144,13.18
145,7.9
146,1.34
147,3.83
148,1.09
149,5.03
150,10.71
151,1.96
152,2.49
153,1.08
154,1.75
155,1.65
156,3.2
157,3.45
158,1.28
159,3.9
160,1.38
161,1.69
162,2.24
163,1.2
164,1.96
165,2.37
166,3.27
167,3.27
168,0.83
169,0.87
170,0.93
171,2.36
172,4.15
173,2.07
174,4.1
175,1.16
176,1.37
177,1.67
178,1.47
179,1.3
180,2.19
181,1.41
182,0.87
183,1.11
184,0.77
185,1.37
186,1.06
187,6.82
188,0.62
189,1.8
190,1.53
191,3.35
192,1
193,2.89
194,1.84
195,1.09
196,1.4
197,3.66
198,1.15
199,1.24
200,1.41
201,2.46
202,2.19
203,1
204,0.59
205,3.21
206,1.6
207,1.52
208,1.4
209,1.38
210,0.91
211,0.87
212,1.58
213,0.75
214,1.6
215,0.72
216,1
217,1.2
218,0.84
219,0.92
220,0.91
221,0.74
222,3.41
223,3.33
224,1.67
225,2.19
226,2.03
227,1.57
228,0.73
229,0.8
230,2.19
231,0.85
