 ,Length
1,11.73
2,4.61
3,7.22
4,3.41
5,6.96
6,2.06
7,2.26
8,10.64
9,4.13
10,8.28
11,0.98
12,7.38
13,7.19
14,3.25
15,4.34
16,4.60
17,3.97
18,9.46
19,6.71
20,5.01
21,0.91
22,4.77
23,2.87
24,5.32
25,3.91
26,13.77
27,3.66
28,5.06
29,10.39
30,8.31
31,3.55
32,5.00
33,4.09
34,3.37
35,3.87
36,6.47
37,10.60
38,2.91
39,1.44
40,2.32
41,5.07
42,9.51
43,4.03
44,4.30
45,4.74
46,5.44
47,11.74
48,5.74
49,4.82
50,7.45
51,8.38
52,9.10
53,1.59
54,2.77
55,6.77
56,6.32
57,4.66
58,12.81
59,3.73
60,5.72
61,5.21
62,4.74
63,2.67
64,9.46
65,8.12
66,6.48
67,6.87
68,7.24
69,8.71
70,8.78
71,2.46
72,0.96
73,1.85
74,3.72
75,5.96
76,2.55
77,4.12
78,3.44
79,0.79
80,2.48
81,9.43
82,4.65
83,7.10
84,3.90
85,9.41
86,6.38
87,5.80
88,4.91
89,4.67
90,5.96
91,4.39
92,3.23
93,6.46
94,3.16
95,6.56
96,5.20
97,2.18
98,1.64
99,2.34
100,2.08
101,0.63
102,1.18
103,0.59
104,2.28
105,4.44
106,1.58
107,1.03
108,1.98
109,1.60
110,1.07
111,5.90
112,2.73
113,1.34
114,3.11
115,5.19
116,1.68
117,3.09
118,1.07
119,5.73
120,4.62
121,6.76
122,7.63
123,2.54
124,1.52
125,1.19
126,5.65
127,1.19
128,1.66
129,0.52
130,0.90
131,1.93
132,2.84
133,5.74
134,2.74
135,7.33
136,8.42
137,3.70
138,2.22
139,1.76
140,3.90
141,2.90
142,3.82
143,3.52
144,0.87
145,1.26
146,3.14
147,3.27
148,2.35
149,1.06
150,1.58
151,1.31
152,1.27
153,2.47
154,2.14
155,0.58
156,0.57
157,1.94
158,3.33
159,4.05
